MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Mean_ELEV,P_0–14,P_15–39,P_40–64,P_65+,TDR
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,452.62,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,713.12,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,524.85,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,443.38,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,528.85,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,891.20,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,516.40,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,872.48,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,712.85,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,546.25,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733857",ПРЕШЕВО,PREŠEVO,ПРЕШЕВО,PREŠEVO,607.68,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707660",БРАТОСЕЛЦЕ,BRATOSELCE,БУЈАНОВАЦ,BUJANOVAC,524.34,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733962",ЦЕРЕВАЈКА,CEREVAJKA,ПРЕШЕВО,PREŠEVO,802.29,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733644",БУЈИЋ,BUJIĆ,ПРЕШЕВО,PREŠEVO,825.77,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742490",ПЕТРОВАЦ,PETROVAC,ТРГОВИШТЕ,TRGOVIŠTE,938.56,0.00,20.00,50.00,30.00,42.86
"70963","733768",ИЛИНЦЕ,ILINCE,ПРЕШЕВО,PREŠEVO,750.36,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733652",БУКОВАЦ,BUKOVAC,ПРЕШЕВО,PREŠEVO,676.37,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733903",СЕФЕР,SEFER,ПРЕШЕВО,PREŠEVO,844.00,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742309",ГОРНОВАЦ,GORNOVAC,ТРГОВИШТЕ,TRGOVIŠTE,1011.87,0.00,10.00,40.00,50.00,100.00
"70963","733989",ЦРНОТИНЦЕ,CRNOTINCE,ПРЕШЕВО,PREŠEVO,487.45,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733725",ГОСПОЂИНЦЕ,GOSPOĐINCE,ПРЕШЕВО,PREŠEVO,726.96,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733849",ПЕЧЕНО,PEČENO,ПРЕШЕВО,PREŠEVO,850.94,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707848",ЈАБЛАНИЦА,JABLANICA,БУЈАНОВАЦ,BUJANOVAC,592.71,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733750",ЖУЈИНЦЕ,ŽUJINCE,ПРЕШЕВО,PREŠEVO,480.20,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733679",БУКАРЕВАЦ,BUKAREVAC,ПРЕШЕВО,PREŠEVO,460.11,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733741",ДОЊА ШУШАЈА,DONJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,474.16,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733822",ОРАОВИЦА,ORAOVICA,ПРЕШЕВО,PREŠEVO,557.94,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","708089",ПРЕТИНА,PRETINA,БУЈАНОВАЦ,BUJANOVAC,626.47,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707619",БАРАЉЕВАЦ,BARALJEVAC,БУЈАНОВАЦ,BUJANOVAC,604.00,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742481",НОВО СЕЛО,NOVO SELO,ТРГОВИШТЕ,TRGOVIŠTE,643.77,14.50,34.35,31.30,19.85,52.33
"70351","708038",НЕГОВАЦ,NEGOVAC,БУЈАНОВАЦ,BUJANOVAC,514.46,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707872",КЛЕНИКЕ,KLENIKE,БУЈАНОВАЦ,BUJANOVAC,506.67,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742279",БАРБАЦЕ,BARBACE,ТРГОВИШТЕ,TRGOVIŠTE,652.13,8.00,18.40,30.40,43.20,104.92
"70963","733695",ГАРЕ,GARE,ПРЕШЕВО,PREŠEVO,751.58,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742317",ГОРЊА ТРНИЦА,GORNJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,1071.68,9.80,29.41,29.41,31.37,70.00
"70351","708143",САМОЉИЦА,SAMOLJICA,БУЈАНОВАЦ,BUJANOVAC,482.41,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742597",ШАЈИНЦЕ,ŠAJINCE,ТРГОВИШТЕ,TRGOVIŠTE,732.31,11.67,30.00,40.00,18.33,42.86
"70351","707686",БРЊАРЕ,BRNJARE,БУЈАНОВАЦ,BUJANOVAC,580.36,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","708151",СЕБРАТ,SEBRAT,БУЈАНОВАЦ,BUJANOVAC,749.97,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733717",ГОРЊА ШУШАЈА,GORNJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,620.57,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733733",ДЕПЦЕ,DEPCE,ПРЕШЕВО,PREŠEVO,839.04,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707627",БИЉАЧА,BILJAČA,БУЈАНОВАЦ,BUJANOVAC,545.68,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","708178",СПАНЧЕВАЦ,SPANČEVAC,БУЈАНОВАЦ,BUJANOVAC,608.47,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742546",ТРГОВИШТЕ,TRGOVIŠTE,ТРГОВИШТЕ,TRGOVIŠTE,860.36,15.68,36.62,39.16,8.55,31.96
"70963","733873",РАНАТОВЦЕ,RANATOVCE,ПРЕШЕВО,PREŠEVO,721.60,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733792",МАЂАРЕ,MAĐARE,ПРЕШЕВО,PREŠEVO,741.77,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","708160",СЕЈАЦЕ,SEJACE,БУЈАНОВАЦ,BUJANOVAC,663.45,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707988",ЛУКАРЦЕ,LUKARCE,БУЈАНОВАЦ,BUJANOVAC,882.82,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742384",ДУМБИЈА,DUMBIJA,ТРГОВИШТЕ,TRGOVIŠTE,873.82,0.00,0.00,25.00,75.00,300.00
"70335","706779",ДОЊЕ ТЛАМИНО,DONJE TLAMINO,БОСИЛЕГРАД,BOSILEGRAD,1071.67,12.96,25.31,33.33,28.40,70.53
"71161","742392",ЂЕРЕКАРЦЕ,ĐEREKARCE,ТРГОВИШТЕ,TRGOVIŠTE,901.96,13.40,32.99,27.84,25.77,64.41
"70351","707945",КУШТИЦА,KUŠTICA,БУЈАНОВАЦ,BUJANOVAC,585.45,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733865",РАЈИНЦЕ,RAJINCE,ПРЕШЕВО,PREŠEVO,499.94,99999.00,99999.00,99999.00,99999.00,99999.00
"70963","733636",БЕРЧЕВАЦ,BERČEVAC,ПРЕШЕВО,PREŠEVO,696.44,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707783",ДОЊЕ НОВО СЕЛО,DONJE NOVO SELO,БУЈАНОВАЦ,BUJANOVAC,705.89,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707767",ГРАМАДА,GRAMADA,БУЈАНОВАЦ,BUJANOVAC,498.80,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707961",ЛЕТОВИЦА,LETOVICA,БУЈАНОВАЦ,BUJANOVAC,529.84,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742350",ДОЊА ТРНИЦА,DONJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,839.84,15.20,32.16,35.67,16.96,47.41
"71161","742619",ШАПРАНЦЕ,ŠAPRANCE,ТРГОВИШТЕ,TRGOVIŠTE,694.25,13.51,25.68,29.73,31.08,80.49
"70351","707929",КОШАРНО,KOŠARNO,БУЈАНОВАЦ,BUJANOVAC,665.25,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707791",ДРЕЖНИЦА,DREŽNICA,БУЈАНОВАЦ,BUJANOVAC,517.16,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","707856",ЈАСТРЕБАЦ,JASTREBAC,БУЈАНОВАЦ,BUJANOVAC,627.97,99999.00,99999.00,99999.00,99999.00,99999.00
"70335","706825",ЈАРЕШНИК,JAREŠNIK,БОСИЛЕГРАД,BOSILEGRAD,1365.77,2.00,20.00,36.00,42.00,78.57
"70351","708216",ТРЕЈАК,TREJAK,БУЈАНОВАЦ,BUJANOVAC,642.67,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742287",ВЛАДОВЦЕ,VLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,675.30,14.29,33.33,30.95,21.43,55.56
"70351","708135",РУСЦЕ,RUSCE,БУЈАНОВАЦ,BUJANOVAC,699.51,99999.00,99999.00,99999.00,99999.00,99999.00
