MatBrO,ImeOpsCir,ImeOpsLat,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,DENS_1,DENS_2,DENS_3,DENS_4,DENS_5,DENS_6
"80373",СЕЧАЊ,SEČANJ,524.05,0.00,0.00,0.00,0.00,0.00,11899.57,0.00,0.00,0.00,0.00,0.00,22.71,0.00,0.00,0.00,0.00,0.00
"70653",КРАЉЕВО,KRALJEVO,64.95,629.76,387.03,185.60,256.63,6.12,29811.29,91700.24,2075.14,774.96,800.27,10.98,459.01,145.61,5.36,4.18,3.12,1.79
"70394",ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,288.14,54.18,0.00,0.00,0.00,0.00,15459.19,668.34,0.00,0.00,0.00,0.00,53.65,12.34,0.00,0.00,0.00,0.00
"70904",ПАРАЋИН,PARAĆIN,165.09,228.08,110.55,35.95,0.99,0.00,41256.19,10368.96,17.52,3.72,0.00,0.00,249.90,45.46,0.16,0.10,0.00,0.00
"80349",ПЛАНДИШТЕ,PLANDIŠTE,383.32,0.00,0.00,0.00,0.00,0.00,10354.65,0.00,0.00,0.00,0.00,0.00,27.01,0.00,0.00,0.00,0.00,0.00
"71161",ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.23,69.15,77.68,206.13,17.79,0.00,1.26,2806.05,1327.52,365.81,30.35,0.00,5.53,40.58,17.09,1.77,1.71
"70149",ЗВЕЗДАРА,ZVEZDARA,16.84,14.30,0.00,0.00,0.00,0.00,103238.74,54565.44,0.00,0.00,0.00,0.00,6130.10,3815.41,0.00,0.00,0.00,0.00
"70661",КРУПАЊ,KRUPANJ,16.46,221.30,87.77,16.40,0.00,0.00,2659.97,11901.47,1244.07,60.15,0.00,0.00,161.58,53.78,14.17,3.67,0.00,0.00
"70912",ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,249.59,349.71,53.97,1.68,0.00,0.00,21857.90,7550.02,2.58,0.00,0.00,0.00,87.58,21.59,0.05,0.00,0.00,0.00
"80101",БЕОЧИН,BEOČIN,107.17,76.12,0.87,0.00,0.00,0.00,14957.66,351.86,1.38,0.00,0.00,0.00,139.57,4.62,1.58,0.00,0.00,0.00
"71170",ТРСТЕНИК,TRSTENIK,103.56,280.97,60.68,2.56,0.00,0.00,27572.83,11776.71,479.12,4.07,0.00,0.00,266.24,41.91,7.90,1.59,0.00,0.00
"80357",РУМА,RUMA,581.88,0.84,0.00,0.00,0.00,0.00,51060.07,0.00,0.00,0.00,0.00,0.00,87.75,0.00,0.00,0.00,0.00,0.00
"80098",БЕЛА ЦРКВА,BELA CRKVA,341.41,13.08,0.00,0.00,0.00,0.00,15895.53,0.00,0.00,0.00,0.00,0.00,46.56,0.00,0.00,0.00,0.00,0.00
"70637",КОЦЕЉЕВА,KOCELJEVA,134.69,122.57,0.00,0.00,0.00,0.00,7898.99,4043.00,0.00,0.00,0.00,0.00,58.65,32.99,0.00,0.00,0.00,0.00
"70122",ГРОЦКА,GROCKA,208.13,91.04,0.00,0.00,0.00,0.00,79869.52,6739.64,0.00,0.00,0.00,0.00,383.74,74.03,0.00,0.00,0.00,0.00
"70378",ВАРВАРИН,VARVARIN,102.47,137.69,9.24,0.00,0.00,0.00,13270.41,3509.41,0.00,0.00,0.00,0.00,129.50,25.49,0.00,0.00,0.00,0.00
"71145",УЖИЦЕ,UŽICE,0.00,73.93,357.90,155.57,79.21,0.28,0.00,48197.08,23669.86,2429.58,254.53,0.00,0.00,651.90,66.13,15.62,3.21,0.00
"80071",БАЧКА ТОПОЛА,BAČKA TOPOLA,595.63,0.00,0.00,0.00,0.00,0.00,30813.83,0.00,0.00,0.00,0.00,0.00,51.73,0.00,0.00,0.00,0.00,0.00
"70645",КРАГУЈЕВАЦ,KRAGUJEVAC,69.21,630.80,127.77,6.25,0.88,0.00,77885.30,99942.57,176.64,10.25,1.65,0.00,1125.36,158.44,1.38,1.64,1.88,0.00
"70386",ВЕЛИКА ПЛАНА,VELIKA PLANA,314.47,31.67,0.00,0.00,0.00,0.00,38096.60,648.32,0.00,0.00,0.00,0.00,121.15,20.47,0.00,0.00,0.00,0.00
"71153",ТОПОЛА,TOPOLA,114.16,218.02,20.73,3.40,0.25,0.00,7807.56,12653.49,283.95,12.16,0.00,0.00,68.39,58.04,13.70,3.57,0.00,0.00
"80080",БАЧКИ ПЕТРОВАЦ,BAČKI PETROVAC,158.70,0.00,0.00,0.00,0.00,0.00,12675.20,0.00,0.00,0.00,0.00,0.00,79.87,0.00,0.00,0.00,0.00,0.00
"70360",ВАЉЕВО,VALJEVO,69.28,559.67,174.66,79.26,22.52,0.00,43137.35,40548.24,1826.82,673.83,71.28,0.00,622.62,72.45,10.46,8.50,3.16,0.00
"70106",ВОЖДОВАЦ,VOŽDOVAC,57.64,90.88,0.00,0.00,0.00,0.00,117223.56,41730.54,0.00,0.00,0.00,0.00,2033.56,459.18,0.00,0.00,0.00,0.00
