MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,DENS_1,DENS_2,DENS_3,DENS_4,DENS_5,DENS_6
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,0.00,4.14,0.00,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,0.00,0.65,3.56,1.89,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,0.00,2.30,2.79,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,0.00,3.04,0.00,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,0.00,2.29,2.95,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.82,7.20,0.51,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,0.00,5.20,3.80,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,1.17,7.33,0.26,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,0.00,0.00,6.33,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,0.00,3.90,5.60,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733857",ПРЕШЕВО,PREŠEVO,ПРЕШЕВО,PREŠEVO,0.00,9.74,9.22,3.34,0.13,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","707660",БРАТОСЕЛЦЕ,BRATOSELCE,БУЈАНОВАЦ,BUJANOVAC,0.00,1.81,2.07,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733962",ЦЕРЕВАЈКА,CEREVAJKA,ПРЕШЕВО,PREŠEVO,0.00,0.00,1.91,2.39,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733644",БУЈИЋ,BUJIĆ,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.84,1.68,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"71161","742490",ПЕТРОВАЦ,PETROVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.26,2.15,0.85,0.00,0.00,0.00,0.87,5.58,2.39,0.00,0.00,0.00,3.32,2.59,2.82,0.00
"70963","733768",ИЛИНЦЕ,ILINCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,3.84,0.83,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733652",БУКОВАЦ,BUKOVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,2.06,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733903",СЕФЕР,SEFER,ПРЕШЕВО,PREŠEVO,0.00,0.00,1.63,5.26,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"71161","742309",ГОРНОВАЦ,GORNOVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.35,2.23,3.05,0.00,0.00,0.00,1.91,14.54,18.37,0.00,0.00,0.00,5.42,6.53,6.01,0.00
"70963","733989",ЦРНОТИНЦЕ,CRNOTINCE,ПРЕШЕВО,PREŠEVO,0.00,4.73,3.01,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733725",ГОСПОЂИНЦЕ,GOSPOĐINCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,2.77,0.59,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733849",ПЕЧЕНО,PEČENO,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.57,2.18,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","707848",ЈАБЛАНИЦА,JABLANICA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.66,2.60,0.04,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733750",ЖУЈИНЦЕ,ŽUJINCE,ПРЕШЕВО,PREŠEVO,0.00,6.67,1.65,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733679",БУКАРЕВАЦ,BUKAREVAC,ПРЕШЕВО,PREŠEVO,0.00,3.73,0.91,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733741",ДОЊА ШУШАЈА,DONJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,0.00,0.81,0.21,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733822",ОРАОВИЦА,ORAOVICA,ПРЕШЕВО,PREŠEVO,0.00,6.55,10.80,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","708089",ПРЕТИНА,PRETINA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,2.08,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","707619",БАРАЉЕВАЦ,BARALJEVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.72,6.09,0.02,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"71161","742481",НОВО СЕЛО,NOVO SELO,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,3.93,0.32,0.00,0.00,0.00,0.00,116.57,0.00,0.00,0.00,0.00,0.00,29.70,0.00,0.00,0.00
"70351","708038",НЕГОВАЦ,NEGOVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,1.80,2.17,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","707872",КЛЕНИКЕ,KLENIKE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.39,0.40,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"71161","742279",БАРБАЦЕ,BARBACE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,8.20,0.50,0.00,0.00,0.00,0.00,111.23,0.00,0.00,0.00,0.00,0.00,13.57,0.00,0.00,0.00
"70963","733695",ГАРЕ,GARE,ПРЕШЕВО,PREŠEVO,0.00,0.00,3.78,1.52,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"71161","742317",ГОРЊА ТРНИЦА,GORNJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.49,3.90,8.83,0.00,0.00,0.00,45.38,19.83,0.10,0.00,0.00,0.00,93.17,5.08,0.01,0.00
"70351","708143",САМОЉИЦА,SAMOLJICA,БУЈАНОВАЦ,BUJANOVAC,0.00,4.79,2.33,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"71161","742597",ШАЈИНЦЕ,ŠAJINCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,7.95,2.47,0.09,0.00,0.00,0.00,53.39,0.00,0.00,0.00,0.00,0.00,6.71,0.00,0.00,0.00
"70351","707686",БРЊАРЕ,BRNJARE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.15,5.34,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","708151",СЕБРАТ,SEBRAT,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,7.10,3.31,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733717",ГОРЊА ШУШАЈА,GORNJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,0.00,0.00,2.45,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733733",ДЕПЦЕ,DEPCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,2.26,6.93,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","707627",БИЉАЧА,BILJAČA,БУЈАНОВАЦ,BUJANOVAC,0.00,7.85,9.60,0.37,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","708178",СПАНЧЕВАЦ,SPANČEVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.23,7.90,0.07,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"71161","742546",ТРГОВИШТЕ,TRGOVIŠTE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,4.15,5.64,2.27,0.00,0.00,0.00,1559.86,12.48,0.00,0.00,0.00,0.00,376.07,2.21,0.00,0.00
"70963","733873",РАНАТОВЦЕ,RANATOVCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,2.90,0.04,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70963","733792",МАЂАРЕ,MAĐARE,ПРЕШЕВО,PREŠEVO,0.00,0.00,2.59,0.75,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","708160",СЕЈАЦЕ,SEJACE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,7.52,0.09,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70351","707988",ЛУКАРЦЕ,LUKARCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.23,2.54,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"71161","742384",ДУМБИЈА,DUMBIJA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,2.09,2.64,1.47,0.00,0.00,0.00,7.12,0.00,0.00,0.00,0.00,0.00,3.41,0.00,0.00,0.00
"70335","706779",ДОЊЕ ТЛАМИНО,DONJE TLAMINO,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,5.73,12.67,0.00,0.00,0.00,0.00,145.71,0.00,0.00,0.00,0.00,0.00,25.45,0.00,0.00
