MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,TT_car_min,Acc_Name,Decl/Grow,Acc_Key
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733857",ПРЕШЕВО,PREŠEVO,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70351","707660",БРАТОСЕЛЦЕ,BRATOSELCE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70963","733962",ЦЕРЕВАЈКА,CEREVAJKA,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733644",БУЈИЋ,BUJIĆ,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"71161","742490",ПЕТРОВАЦ,PETROVAC,ТРГОВИШТЕ,TRGOVIŠTE,14.28,Accessible areas with population decline,Population decline,"2"
"70963","733768",ИЛИНЦЕ,ILINCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733652",БУКОВАЦ,BUKOVAC,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733903",СЕФЕР,SEFER,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"71161","742309",ГОРНОВАЦ,GORNOVAC,ТРГОВИШТЕ,TRGOVIŠTE,9.35,Accessible areas with population decline,Population decline,"2"
"70963","733989",ЦРНОТИНЦЕ,CRNOTINCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733725",ГОСПОЂИНЦЕ,GOSPOĐINCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733849",ПЕЧЕНО,PEČENO,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70351","707848",ЈАБЛАНИЦА,JABLANICA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70963","733750",ЖУЈИНЦЕ,ŽUJINCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733679",БУКАРЕВАЦ,BUKAREVAC,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733741",ДОЊА ШУШАЈА,DONJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733822",ОРАОВИЦА,ORAOVICA,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70351","708089",ПРЕТИНА,PRETINA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707619",БАРАЉЕВАЦ,BARALJEVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742481",НОВО СЕЛО,NOVO SELO,ТРГОВИШТЕ,TRGOVIŠTE,14.26,Accessible areas with population decline,Population decline,"2"
"70351","708038",НЕГОВАЦ,NEGOVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707872",КЛЕНИКЕ,KLENIKE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742279",БАРБАЦЕ,BARBACE,ТРГОВИШТЕ,TRGOVIŠTE,14.43,Accessible areas with population decline,Population decline,"2"
"70963","733695",ГАРЕ,GARE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"71161","742317",ГОРЊА ТРНИЦА,GORNJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,12.28,Accessible areas with population decline,Population decline,"2"
"70351","708143",САМОЉИЦА,SAMOLJICA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742597",ШАЈИНЦЕ,ŠAJINCE,ТРГОВИШТЕ,TRGOVIŠTE,7.49,Accessible areas with population decline,Population decline,"2"
"70351","707686",БРЊАРЕ,BRNJARE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","708151",СЕБРАТ,SEBRAT,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70963","733717",ГОРЊА ШУШАЈА,GORNJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733733",ДЕПЦЕ,DEPCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70351","707627",БИЉАЧА,BILJAČA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","708178",СПАНЧЕВАЦ,SPANČEVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742546",ТРГОВИШТЕ,TRGOVIŠTE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,Municipality centre,Population decline,"5"
"70963","733873",РАНАТОВЦЕ,RANATOVCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733792",МАЂАРЕ,MAĐARE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70351","708160",СЕЈАЦЕ,SEJACE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707988",ЛУКАРЦЕ,LUKARCE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742384",ДУМБИЈА,DUMBIJA,ТРГОВИШТЕ,TRGOVIŠTE,9.34,Accessible areas with population decline,Population decline,"2"
"70335","706779",ДОЊЕ ТЛАМИНО,DONJE TLAMINO,БОСИЛЕГРАД,BOSILEGRAD,34.35,Inaccessible areas with population decline,Population decline,"4"
"71161","742392",ЂЕРЕКАРЦЕ,ĐEREKARCE,ТРГОВИШТЕ,TRGOVIŠTE,11.13,Accessible areas with population decline,Population decline,"2"
"70351","707945",КУШТИЦА,KUŠTICA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70963","733865",РАЈИНЦЕ,RAJINCE,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70963","733636",БЕРЧЕВАЦ,BERČEVAC,ПРЕШЕВО,PREŠEVO,,No data,No data,"7"
"70351","707783",ДОЊЕ НОВО СЕЛО,DONJE NOVO SELO,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707767",ГРАМАДА,GRAMADA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707961",ЛЕТОВИЦА,LETOVICA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742350",ДОЊА ТРНИЦА,DONJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,2.36,Accessible areas with population decline,Population decline,"2"
"71161","742619",ШАПРАНЦЕ,ŠAPRANCE,ТРГОВИШТЕ,TRGOVIŠTE,11.75,Accessible areas with population decline,Population decline,"2"
"70351","707929",КОШАРНО,KOŠARNO,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707791",ДРЕЖНИЦА,DREŽNICA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707856",ЈАСТРЕБАЦ,JASTREBAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70335","706825",ЈАРЕШНИК,JAREŠNIK,БОСИЛЕГРАД,BOSILEGRAD,51.93,Inaccessible areas with population decline,Population decline,"4"
"70351","708216",ТРЕЈАК,TREJAK,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742287",ВЛАДОВЦЕ,VLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,19.43,Accessible areas with population decline,Population decline,"2"
"70351","708135",РУСЦЕ,RUSCE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742465",МЕЗДРАЈА,MEZDRAJA,ТРГОВИШТЕ,TRGOVIŠTE,19.96,Accessible areas with population decline,Population decline,"2"
"70335","706582",БИСТАР,BISTAR,БОСИЛЕГРАД,BOSILEGRAD,31.47,Inaccessible areas with population decline,Population decline,"4"
"70351","707708",БУШТРАЊЕ,BUŠTRANJE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","708062",СВЕТА ПЕТКА,SVETA PETKA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70335","706728",ДОГАНИЦА,DOGANICA,БОСИЛЕГРАД,BOSILEGRAD,49.32,Inaccessible areas with population decline,Population decline,"4"
"70351","707732",ВРБАН,VRBAN,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742341",ДЕЈАНЦЕ,DEJANCE,ТРГОВИШТЕ,TRGOVIŠTE,11.70,Accessible areas with population decline,Population decline,"2"
"70432","712035",РУСЦЕ,RUSCE,ВРАЊЕ,VRANJE,40.71,Inaccessible areas with population decline,Population decline,"4"
"70351","707651",БОРОВАЦ,BOROVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70335","706957",РИКАЧЕВО,RIKAČEVO,БОСИЛЕГРАД,BOSILEGRAD,27.73,Inaccessible areas with population decline,Population decline,"4"
"71161","742406",ЗЛАДОВЦЕ,ZLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,11.27,Accessible areas with population decline,Population decline,"2"
"71161","742457",МАРГАНЦЕ,MARGANCE,ТРГОВИШТЕ,TRGOVIŠTE,55.24,Inaccessible areas with population decline,Population decline,"4"
"70351","707635",БОГДАНОВАЦ,BOGDANOVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742589",ЦРНОВЦЕ,CRNOVCE,ТРГОВИШТЕ,TRGOVIŠTE,16.97,Accessible areas with population decline,Population decline,"2"
"70432","711276",БУШТРАЊЕ,BUŠTRANJE,ВРАЊЕ,VRANJE,37.82,Inaccessible areas with population decline,Population decline,"4"
"70351","708046",НЕСАЛЦЕ,NESALCE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70335","706809",ЗЛИ ДОЛ,ZLI DOL,БОСИЛЕГРАД,BOSILEGRAD,28.24,Inaccessible areas with population decline,Population decline,"4"
"70351","707643",БОЖИЊЕВАЦ,BOŽINJEVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707953",ЛЕВОСОЈЕ,LEVOSOJE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711462",ДОЊЕ ПУНУШЕВЦЕ,DONJE PUNUŠEVCE,ВРАЊЕ,VRANJE,42.59,Inaccessible areas with population decline,Population decline,"4"
"70432","711624",КОПАЊАНЕ,KOPANJANE,ВРАЊЕ,VRANJE,37.58,Inaccessible areas with population decline,Population decline,"4"
"71161","742376",ДОЊИ СТАЈЕВАЦ,DONJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,10.08,Accessible areas with population decline,Population decline,"2"
"70432","711268",БУЉЕСОВЦЕ,BULJESOVCE,ВРАЊЕ,VRANJE,36.95,Inaccessible areas with population decline,Population decline,"4"
"71161","742333",ГОРЊИ СТАЈЕВАЦ,GORNJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,14.41,Accessible areas with population decline,Population decline,"2"
"70432","711764",МАРГАНЦЕ,MARGANCE,ВРАЊЕ,VRANJE,41.47,Inaccessible areas with population decline,Population decline,"4"
"70335","706876",НАЗАРИЦА,NAZARICA,БОСИЛЕГРАД,BOSILEGRAD,35.38,Inaccessible areas with population decline,Population decline,"4"
"70351","707899",КЛИНОВАЦ,KLINOVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711730",ЛЕПЧИНЦЕ,LEPČINCE,ВРАЊЕ,VRANJE,44.79,Inaccessible areas with population decline,Population decline,"4"
"71161","742295",ГОЛОЧЕВАЦ,GOLOČEVAC,ТРГОВИШТЕ,TRGOVIŠTE,15.83,Accessible areas with population decline,Population decline,"2"
"70335","706612",БРАНКОВЦИ,BRANKOVCI,БОСИЛЕГРАД,BOSILEGRAD,19.38,Accessible areas with population decline,Population decline,"2"
"70432","712264",ЋУРКОВИЦА,ĆURKOVICA,ВРАЊЕ,VRANJE,39.14,Inaccessible areas with population decline,Population decline,"4"
"70351","707821",ЖУЖЕЉИЦА,ŽUŽELJICA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","707937",КРШЕВИЦА,KRŠEVICA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","712191",СУРДУЛ,SURDUL,ВРАЊЕ,VRANJE,29.80,Inaccessible areas with population decline,Population decline,"4"
"71161","742554",ЦРВЕНИ ГРАД,CRVENI GRAD,ТРГОВИШТЕ,TRGOVIŠTE,28.96,Inaccessible areas with population decline,Population decline,"4"
"70351","708054",ОСЛАРЕ,OSLARE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70335","706949",РИБАРЦИ,RIBARCI,БОСИЛЕГРАД,BOSILEGRAD,12.51,Accessible areas with population decline,Population decline,"2"
"70351","707694",БУЈАНОВАЦ,BUJANOVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"71161","742511",РАДОВНИЦА,RADOVNICA,ТРГОВИШТЕ,TRGOVIŠTE,17.62,Accessible areas with population decline,Population decline,"2"
"70351","707775",ДОБРОСИН,DOBROSIN,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711667",КОЋУРА,KOĆURA,ВРАЊЕ,VRANJE,34.16,Inaccessible areas with population decline,Population decline,"4"
"70351","707996",ЛУЧАНЕ,LUČANE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70351","708003",ЉИЉАНЦЕ,LJILJANCE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711373",ГОРЊЕ ПУНУШЕВЦЕ,GORNJE PUNUŠEVCE,ВРАЊЕ,VRANJE,34.66,Inaccessible areas with population decline,Population decline,"4"
"70432","711829",МИЛАНОВО,MILANOVO,ВРАЊЕ,VRANJE,29.92,Inaccessible areas with population decline,Population decline,"4"
"70432","711365",ГОРЊЕ ЖАПСКО,GORNJE ŽAPSKO,ВРАЊЕ,VRANJE,30.65,Inaccessible areas with population decline,Population decline,"4"
"70432","711357",ГОРЊА ОТУЉА,GORNJA OTULJA,ВРАЊЕ,VRANJE,24.93,Inaccessible areas with population decline,Population decline,"4"
"71161","742473",НОВИ ГЛОГ,NOVI GLOG,ТРГОВИШТЕ,TRGOVIŠTE,23.54,Inaccessible areas with population decline,Population decline,"4"
"70335","706639",БРЕСНИЦА,BRESNICA,БОСИЛЕГРАД,BOSILEGRAD,21.65,Inaccessible areas with population decline,Population decline,"4"
"70335","706965",ЦРНОШТИЦА,CRNOŠTICA,БОСИЛЕГРАД,BOSILEGRAD,21.82,Inaccessible areas with population decline,Population decline,"4"
"70351","707813",ЖБЕВАЦ,ŽBEVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711454",ДОЊЕ ЖАПСКО,DONJE ŽAPSKO,ВРАЊЕ,VRANJE,24.74,Inaccessible areas with population decline,Population decline,"4"
"70351","708224",ТУРИЈА,TURIJA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711381",ГОРЊЕ ТРЕБЕШИЊЕ,GORNJE TREBEŠINJE,ВРАЊЕ,VRANJE,12.31,Accessible areas with population decline,Population decline,"2"
"70351","708127",РАКОВАЦ,RAKOVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711420",ДАВИДОВАЦ,DAVIDOVAC,ВРАЊЕ,VRANJE,12.26,Accessible areas with population decline,Population decline,"2"
"71358","712124",СТАРИ ГЛОГ,STARI GLOG,ВРАЊСКА БАЊА,VRANJSKA BANJA,56.12,Inaccessible areas with population decline,Population decline,"4"
"70432","711209",БАРБАРУШИНЦЕ,BARBARUŠINCE,ВРАЊЕ,VRANJE,19.67,Accessible areas with population decline,Population decline,"2"
"70432","711985",РАТАЈЕ,RATAJE,ВРАЊЕ,VRANJE,14.24,Accessible areas with population decline,Population decline,"2"
"71358","711659",КОРБУЛ,KORBUL,ВРАЊСКА БАЊА,VRANJSKA BANJA,40.87,Inaccessible areas with population decline,Population decline,"4"
"70351","707902",КОНЧУЉ,KONČULJ,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70335","706914",РАЈЧИЛОВЦИ,RAJČILOVCI,БОСИЛЕГРАД,BOSILEGRAD,2.73,Accessible areas with population decline,Population decline,"2"
"70432","712116",СТАРА БРЕЗОВИЦА,STARA BREZOVICA,ВРАЊЕ,VRANJE,33.26,Inaccessible areas with population decline,Population decline,"4"
"70432","712329",ЦРНИ ЛУГ,CRNI LUG,ВРАЊЕ,VRANJE,19.06,Accessible areas with population decline,Population decline,"2"
"70432","712019",РИСТОВАЦ,RISTOVAC,ВРАЊЕ,VRANJE,17.26,Accessible areas with population decline,Population decline,"2"
"70335","706850",МЛЕКОМИНЦИ,MLEKOMINCI,БОСИЛЕГРАД,BOSILEGRAD,8.37,Accessible areas with population decline,Population decline,"2"
"70335","706647",БУЦЕЉЕВО,BUCELJEVO,БОСИЛЕГРАД,BOSILEGRAD,11.49,Accessible areas with population decline,Population decline,"2"
"70335","706787",ДУКАТ,DUKAT,БОСИЛЕГРАД,BOSILEGRAD,23.33,Inaccessible areas with population decline,Population decline,"4"
"70351","708186",СРПСКА КУЋА,SRPSKA KUĆA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711217",БАРЕЛИЋ,BARELIĆ,ВРАЊЕ,VRANJE,23.40,Inaccessible areas with population decline,Population decline,"4"
"70432","711870",НОВА БРЕЗОВИЦА,NOVA BREZOVICA,ВРАЊЕ,VRANJE,28.38,Inaccessible areas with population decline,Population decline,"4"
"70432","711853",НАСТАВЦЕ,NASTAVCE,ВРАЊЕ,VRANJE,22.43,Inaccessible areas with population decline,Population decline,"4"
"70432","711969",ПРЕОБРАЖЕЊЕ,PREOBRAŽENJE,ВРАЊЕ,VRANJE,23.03,Inaccessible areas with population decline,Population decline,"4"
"70335","706906",РАДИЧЕВЦИ,RADIČEVCI,БОСИЛЕГРАД,BOSILEGRAD,5.50,Accessible areas with population decline,Population decline,"2"
"70432","711284",ВИШЕВЦЕ,VIŠEVCE,ВРАЊЕ,VRANJE,23.68,Inaccessible areas with population decline,Population decline,"4"
"71161","742252",БАБИНА ПОЉАНА,BABINA POLJANA,ТРГОВИШТЕ,TRGOVIŠTE,28.99,Inaccessible areas with population decline,Population decline,"4"
"70432","711446",ДОЊА ОТУЉА,DONJA OTULJA,ВРАЊЕ,VRANJE,17.49,Accessible areas with population decline,Population decline,"2"
"70432","711187",АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,ВРАЊЕ,VRANJE,17.03,Accessible areas with population decline,Population decline,"2"
"70351","707864",КАРАДНИК,KARADNIK,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711756",ЛУКОВО,LUKOVO,ВРАЊЕ,VRANJE,19.13,Accessible areas with population decline,Population decline,"2"
"70432","711390",ГОРЊИ НЕРАДОВАЦ,GORNJI NERADOVAC,ВРАЊЕ,VRANJE,9.60,Accessible areas with population decline,Population decline,"2"
"70335","706604",БОСИЛЕГРАД,BOSILEGRAD,БОСИЛЕГРАД,BOSILEGRAD,0.00,Municipality centre,Population decline,"5"
"71358","711543",ДУГА ЛУКА,DUGA LUKA,ВРАЊСКА БАЊА,VRANJSKA BANJA,13.58,Accessible areas with population decline,Population decline,"2"
"71358","711934",ПРВОНЕК,PRVONEK,ВРАЊСКА БАЊА,VRANJSKA BANJA,20.21,Accessible areas with population decline,Population decline,"2"
"70335","706655",ГЛОЖЈЕ,GLOŽJE,БОСИЛЕГРАД,BOSILEGRAD,19.83,Accessible areas with population decline,Population decline,"2"
"71137","741434",ТОПЛИ ДОЛ,TOPLI DOL,СУРДУЛИЦА,SURDULICA,67.31,Inaccessible areas with population decline,Population decline,"4"
"70351","707830",ЗАРБИНЦЕ,ZARBINCE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711527",ДРЕНОВАЦ,DRENOVAC,ВРАЊЕ,VRANJE,14.54,Accessible areas with population decline,Population decline,"2"
"70335","706884",ПАРАЛОВО,PARALOVO,БОСИЛЕГРАД,BOSILEGRAD,3.47,Accessible areas with population decline,Population decline,"2"
"70432","711705",КУПИНИНЦЕ,KUPININCE,ВРАЊЕ,VRANJE,12.40,Accessible areas with population decline,Population decline,"2"
"70432","711900",ПАВЛОВАЦ,PAVLOVAC,ВРАЊЕ,VRANJE,11.62,Accessible areas with population growth,Population growth,"1"
"70335","706574",БЕЛУТ,BELUT,БОСИЛЕГРАД,BOSILEGRAD,12.11,Accessible areas with population decline,Population decline,"2"
"70335","706817",ИЗВОР,IZVOR,БОСИЛЕГРАД,BOSILEGRAD,12.90,Accessible areas with population decline,Population decline,"2"
"70432","712159",СТРОПСКО,STROPSKO,ВРАЊЕ,VRANJE,7.80,Accessible areas with population decline,Population decline,"2"
"70432","712256",ЋУКОВАЦ,ĆUKOVAC,ВРАЊЕ,VRANJE,11.87,Accessible areas with population decline,Population decline,"2"
"70335","706922",РЕСЕН,RESEN,БОСИЛЕГРАД,BOSILEGRAD,15.74,Accessible areas with population decline,Population decline,"2"
"70351","708011",МАЛИ ТРНОВАЦ,MALI TRNOVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711489",ДОЊЕ ТРЕБЕШИЊЕ,DONJE TREBEŠINJE,ВРАЊЕ,VRANJE,13.93,Accessible areas with population decline,Population decline,"2"
"71358","711195",БАБИНА ПОЉАНА,BABINA POLJANA,ВРАЊСКА БАЊА,VRANJSKA BANJA,52.71,Inaccessible areas with population decline,Population decline,"4"
"70432","712094",СРЕДЊИ ДЕЛ,SREDNJI DEL,ВРАЊЕ,VRANJE,32.04,Inaccessible areas with population decline,Population decline,"4"
"70432","711497",ДОЊИ НЕРАДОВАЦ,DONJI NERADOVAC,ВРАЊЕ,VRANJE,9.77,Accessible areas with population decline,Population decline,"2"
"70351","707716",ВЕЛИКИ ТРНОВАЦ,VELIKI TRNOVAC,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711578",ЗЛАТОКОП,ZLATOKOP,ВРАЊЕ,VRANJE,8.04,Accessible areas with population growth,Population growth,"1"
"70432","712213",ТИБУЖДЕ,TIBUŽDE,ВРАЊЕ,VRANJE,13.24,Accessible areas with population decline,Population decline,"2"
"70432","711993",РИБИНЦЕ,RIBINCE,ВРАЊЕ,VRANJE,8.21,Accessible areas with population decline,Population decline,"2"
"70335","706680",ГОРЊА ЉУБАТА,GORNJA LJUBATA,БОСИЛЕГРАД,BOSILEGRAD,25.11,Inaccessible areas with population decline,Population decline,"4"
"70351","707970",ЛОПАРДИНЦЕ,LOPARDINCE,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711225",БЕЛИ БРЕГ,BELI BREG,ВРАЊЕ,VRANJE,17.00,Accessible areas with population decline,Population decline,"2"
"70432","711551",ДУЛАН,DULAN,ВРАЊЕ,VRANJE,15.45,Accessible areas with population decline,Population decline,"2"
"71358","711721",ЛЕВА РЕКА,LEVA REKA,ВРАЊСКА БАЊА,VRANJSKA BANJA,33.56,Inaccessible areas with population decline,Population decline,"4"
"71358","711748",ЛИПОВАЦ,LIPOVAC,ВРАЊСКА БАЊА,VRANJSKA BANJA,15.85,Accessible areas with population decline,Population decline,"2"
"70335","706710",ГРУЈИНЦИ,GRUJINCI,БОСИЛЕГРАД,BOSILEGRAD,13.86,Accessible areas with population decline,Population decline,"2"
"70432","711535",ДУБНИЦА,DUBNICA,ВРАЊЕ,VRANJE,9.22,Accessible areas with population decline,Population decline,"2"
