MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,ChgCLC_211,ChgCLC_221,ChgCLC_222,ChgCLC_231,ChgCLC_242,ChgCLC_243,ChgCLC_31,ChgCLC_321,ChgCLC_324,ChgCLC_411,Decl/Grow
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,-0.52,0.00,0.00,-129.09,130.19,-0.58,0.00,0.00,0.00,0.00,No data
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,0.97,0.00,0.00,0.00,0.00,-0.24,-0.80,0.00,-0.00,0.00,No data
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,-22.37,-18.34,-0.09,0.01,24.60,-23.65,0.00,No data
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,-3.86,0.00,0.00,0.00,3.58,0.29,0.00,0.00,0.00,0.00,No data
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,-0.97,-0.64,0.87,0.22,7.50,-8.46,0.00,No data
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,-0.00,0.78,0.00,-0.78,0.00,No data
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,161.63,0.00,0.00,2.80,-208.37,-3.29,-0.17,0.99,-0.80,0.00,No data
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.38,0.00,105.13,-104.89,0.00,-0.62,0.00,No data
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,-0.00,0.58,0.26,-0.84,0.00,No data
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,188.40,0.00,0.00,-28.10,-184.33,-10.11,0.14,-0.15,1.47,0.00,No data
