MatBrO,ImeOpsCir,ImeOpsLat,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12
"80373",СЕЧАЊ,SEČANJ,2.32,8.04,26.40,32.85,19.21,2.61,2.74,4.88,0.95,0.00,0.00,0.00,0.00
"70653",КРАЉЕВО,KRALJEVO,0.88,1.28,2.95,6.67,9.39,5.73,4.93,15.14,30.85,13.63,8.55,0.00,0.00
"70394",ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,1.26,5.77,18.06,44.31,7.47,4.84,1.26,0.69,10.51,5.83,0.00,0.00,0.00
"70904",ПАРАЋИН,PARAĆIN,0.41,2.85,10.20,32.03,15.29,3.37,2.77,4.79,14.46,12.31,1.52,0.00,0.00
"80349",ПЛАНДИШТЕ,PLANDIŠTE,2.29,10.13,20.90,33.69,16.50,3.39,1.96,7.66,3.48,0.00,0.00,0.00,0.00
"71161",ТРГОВИШТЕ,TRGOVIŠTE,6.70,1.37,1.37,23.69,8.50,11.33,18.37,28.67,0.00,0.00,0.00,0.00,0.00
"70149",ЗВЕЗДАРА,ZVEZDARA,0.02,0.00,0.00,0.25,0.43,0.29,0.23,3.81,23.43,33.45,37.63,0.46,0.00
"70661",КРУПАЊ,KRUPANJ,12.75,13.41,5.47,17.56,10.66,24.12,0.85,5.20,9.97,0.00,0.00,0.00,0.00
"70912",ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,2.14,6.96,27.40,39.49,10.40,2.04,1.23,4.23,6.12,0.00,0.00,0.00,0.00
"80101",БЕОЧИН,BEOČIN,5.02,2.64,9.70,19.37,9.45,7.33,11.45,11.01,24.04,0.00,0.00,0.00,0.00
"71170",ТРСТЕНИК,TRSTENIK,8.38,24.26,28.76,18.69,3.38,0.72,0.80,1.65,5.70,7.66,0.00,0.00,0.00
"80357",РУМА,RUMA,1.74,2.92,9.86,21.30,15.75,13.15,6.33,5.65,21.02,2.29,0.00,0.00,0.00
"80098",БЕЛА ЦРКВА,BELA CRKVA,4.11,5.27,9.17,24.41,15.32,11.24,3.64,5.43,12.00,9.42,0.00,0.00,0.00
"70637",КОЦЕЉЕВА,KOCELJEVA,10.74,5.01,8.52,11.37,15.57,7.17,1.30,11.06,29.27,0.00,0.00,0.00,0.00
"70122",ГРОЦКА,GROCKA,2.01,0.88,4.25,13.11,15.35,10.86,9.65,18.34,22.85,2.70,0.00,0.00,0.00
"70378",ВАРВАРИН,VARVARIN,6.31,32.61,30.05,13.10,1.74,6.36,0.61,5.06,4.15,0.00,0.00,0.00,0.00
"71145",УЖИЦЕ,UŽICE,1.78,3.87,2.55,4.12,6.03,6.11,2.91,12.97,30.19,19.30,10.17,0.00,0.00
"80071",БАЧКА ТОПОЛА,BAČKA TOPOLA,1.69,8.40,23.26,28.09,7.31,5.54,6.18,8.24,8.49,2.80,0.00,0.00,0.00
"70645",КРАГУЈЕВАЦ,KRAGUJEVAC,0.60,4.05,4.45,5.26,3.92,4.93,4.99,12.82,23.65,22.01,13.32,0.00,0.00
"70386",ВЕЛИКА ПЛАНА,VELIKA PLANA,1.73,6.34,20.24,26.86,14.89,5.51,2.19,3.97,12.50,5.77,0.00,0.00,0.00
"71153",ТОПОЛА,TOPOLA,8.73,18.31,24.88,10.33,2.62,4.14,3.23,10.30,17.46,0.00,0.00,0.00,0.00
"80080",БАЧКИ ПЕТРОВАЦ,BAČKI PETROVAC,1.13,0.73,0.60,8.84,17.92,21.06,11.34,24.75,13.63,0.00,0.00,0.00,0.00
"70360",ВАЉЕВО,VALJEVO,4.50,2.01,0.85,2.87,4.36,2.92,2.48,7.81,28.04,20.87,20.34,2.95,0.00
"70106",ВОЖДОВАЦ,VOŽDOVAC,0.05,0.03,0.43,4.95,6.56,6.71,5.70,17.55,17.44,9.92,29.88,0.77,0.00
"70874",НОВИ ПАЗАР,NOVI PAZAR,0.89,1.29,1.13,2.41,3.25,1.73,3.48,3.72,30.79,33.84,17.46,0.00,0.00
"71129",СОКОБАЊА,SOKOBANJA,2.04,33.20,22.07,4.29,2.65,7.91,2.44,7.71,17.69,0.00,0.00,0.00,0.00
"80055",БАЧ,BAČ,4.41,7.06,8.69,21.77,21.90,11.33,7.43,11.79,5.63,0.00,0.00,0.00,0.00
"70629",КОСЈЕРИЋ,KOSJERIĆ,8.66,8.45,0.22,1.29,1.40,4.64,6.40,4.81,31.17,32.95,0.00,0.00,0.00
"80314",ПАНЧЕВО,PANČEVO,1.12,0.26,0.95,3.05,4.89,5.21,3.71,11.96,34.58,13.92,19.52,0.82,0.00
"70114",ВРАЧАР,VRAČAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.33,46.89,0.79
"70092",БАРАЈЕВО,BARAJEVO,2.59,0.04,1.32,16.87,33.22,16.11,11.52,14.12,4.22,0.00,0.00,0.00,0.00
"70882",ОСЕЧИНА,OSEČINA,12.14,4.62,11.78,6.65,12.63,0.85,2.86,22.26,26.21,0.00,0.00,0.00,0.00
"71137",СУРДУЛИЦА,SURDULICA,2.29,1.87,5.61,15.72,8.36,4.51,4.85,18.46,19.62,18.72,0.00,0.00,0.00
"80063",БАЧКА ПАЛАНКА,BAČKA PALANKA,2.06,0.99,3.71,12.53,15.33,14.25,14.73,14.64,16.21,5.55,0.00,0.00,0.00
"70343",БРУС,BRUS,12.45,15.08,5.32,10.18,11.31,3.24,3.72,9.20,20.08,9.42,0.00,0.00,0.00
"80322",ПЕЋИНЦИ,PEĆINCI,2.94,5.57,18.78,34.34,14.31,4.83,3.36,6.53,6.89,2.46,0.00,0.00,0.00
"70599",КНИЋ,KNIĆ,8.27,9.27,25.72,14.96,1.82,4.21,6.69,29.07,0.00,0.00,0.00,0.00,0.00
"70602",КЊАЖЕВАЦ,KNJAŽEVAC,2.34,7.25,13.90,15.55,3.40,3.34,3.06,16.01,20.74,14.43,0.00,0.00,0.00
"80039",АЛИБУНАР,ALIBUNAR,2.04,1.40,2.78,15.14,15.16,19.27,18.44,21.20,3.76,0.80,0.00,0.00,0.00
"70351",БУЈАНОВАЦ,BUJANOVAC,2.43,8.05,13.73,18.26,6.78,2.45,2.17,15.61,30.51,0.00,0.00,0.00,0.00
"70076",БАТОЧИНА,BATOČINA,3.69,1.16,13.72,39.64,5.39,7.73,7.58,6.16,14.93,0.00,0.00,0.00,0.00
"70866",НОВА ВАРОШ,NOVA VAROŠ,6.99,9.47,7.91,14.88,4.88,6.04,1.58,8.59,17.58,22.07,0.00,0.00,0.00
"80047",АПАТИН,APATIN,2.92,6.79,4.66,20.63,11.66,11.48,13.42,7.42,12.80,8.23,0.00,0.00,0.00
"71099",СМЕДЕРЕВО,SMEDEREVO,2.19,1.31,8.40,18.79,14.09,10.14,5.21,8.18,17.61,12.29,1.79,0.00,0.00
"70327",БОР,BOR,7.29,8.98,17.09,12.65,9.19,4.82,5.80,5.91,5.69,6.48,16.10,0.00,0.00
"71102",СМЕДЕРЕВСКА ПАЛАНКА,SMEDEREVSKA PALANKA,2.32,10.27,22.36,18.85,11.73,4.91,4.24,6.89,17.68,0.75,0.00,0.00,0.00
"80306",ОЏАЦИ,ODŽACI,1.69,2.62,5.83,19.66,26.29,21.19,7.66,9.08,5.97,0.00,0.00,0.00,0.00
"70840",НЕГОТИН,NEGOTIN,1.48,3.19,10.45,18.20,15.06,15.20,10.78,7.57,13.92,4.15,0.00,0.00,0.00
"71358",ВРАЊСКА БАЊА,VRANJSKA BANJA,1.20,1.97,3.20,11.09,5.78,13.15,23.66,27.44,12.50,0.00,0.00,0.00,0.00
"70084",БЕЛА ПАЛАНКА,BELA PALANKA,0.73,8.14,10.82,17.93,9.82,17.78,4.64,11.11,19.02,0.00,0.00,0.00,0.00
"80284",НОВИ САД,NOVI SAD,0.47,0.23,0.70,2.40,3.13,3.62,3.85,17.08,30.46,14.87,21.43,1.76,0.00
"70335",БОСИЛЕГРАД,BOSILEGRAD,16.90,3.53,12.34,27.19,40.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"80292",ОПОВО,OPOVO,2.77,1.13,4.63,17.97,20.05,29.42,14.11,6.28,3.65,0.00,0.00,0.00,0.00
"70572",КЛАДОВО,KLADOVO,2.49,2.50,10.12,18.53,21.17,7.71,11.51,7.20,10.23,5.71,2.83,0.00,0.00
"71340",КОСТОЛАЦ,KOSTOLAC,1.77,0.87,4.87,17.23,17.60,10.78,6.74,4.66,18.06,17.42,0.00,0.00,0.00
"80012",АДА,ADA,1.74,3.46,7.00,13.17,9.32,14.39,11.35,19.58,19.98,0.00,0.00,0.00,0.00
"70068",БАЈИНА БАШТА,BAJINA BAŠTA,6.05,1.81,8.01,4.51,6.32,5.69,3.30,19.12,42.18,2.99,0.00,0.00,0.00
"70823",МЕРОШИНА,MEROŠINA,1.50,17.75,46.54,16.63,11.16,2.46,3.97,0.00,0.00,0.00,0.00,0.00,0.00
"80268",НОВИ БЕЧЕЈ,NOVI BEČEJ,7.12,2.03,2.27,15.04,10.69,15.54,10.98,18.87,17.45,0.00,0.00,0.00,0.00
"70319",БОЉЕВАЦ,BOLJEVAC,26.09,31.92,6.03,5.67,2.92,0.53,1.42,5.79,19.62,0.00,0.00,0.00,0.00
"80519",НОВИ САД,NOVI SAD,1.75,0.61,2.45,3.44,2.05,5.34,6.11,20.69,43.84,11.52,2.21,0.00,0.00
"80276",НОВИ КНЕЖЕВАЦ,NOVI KNEŽEVAC,1.52,5.92,22.07,24.43,22.12,4.78,4.18,9.68,5.30,0.00,0.00,0.00,0.00
"70831",МИОНИЦА,MIONICA,27.75,2.59,2.74,6.19,9.25,3.25,7.39,17.11,23.73,0.00,0.00,0.00,0.00
"70556",ЗАЈЕЧАР,ZAJEČAR,1.76,10.15,16.40,15.22,5.43,2.86,5.20,6.53,22.54,7.29,6.63,0.00,0.00
"71323",ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),0.40,0.00,2.16,8.27,7.54,4.11,2.07,11.84,33.24,24.50,5.88,0.00,0.00
"70041",АРИЉЕ,ARILJE,3.46,0.74,4.57,8.80,8.95,4.57,3.46,4.77,22.00,34.41,4.26,0.00,0.00
"70297",БОЈНИК,BOJNIK,19.78,41.40,11.09,9.54,9.32,8.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70807",МАЛО ЦРНИЋЕ,MALO CRNIĆE,1.75,6.55,18.95,31.36,15.14,11.15,3.94,11.16,0.00,0.00,0.00,0.00,0.00
"71064",СВРЉИГ,SVRLJIG,1.13,18.10,25.97,7.40,9.39,5.43,7.05,12.78,12.75,0.00,0.00,0.00,0.00
"70564",ИВАЊИЦА,IVANJICA,1.35,4.18,4.68,5.23,8.18,6.49,6.00,14.68,45.10,4.12,0.00,0.00,0.00
"70050",БАБУШНИЦА,BABUŠNICA,9.97,8.24,0.90,5.67,16.54,34.05,8.37,16.26,0.00,0.00,0.00,0.00,0.00
"71331",МЕДИЈАНА,MEDIJANA,0.00,0.00,0.00,0.21,0.00,1.46,1.88,0.00,7.27,2.33,84.29,2.56,0.00
"80250",НОВА ЦРЊА,NOVA CRNJA,1.51,5.09,25.43,32.70,16.55,7.23,7.26,4.25,0.00,0.00,0.00,0.00,0.00
"70815",МЕДВЕЂА,MEDVEĐA,4.66,16.00,6.53,23.17,1.43,9.68,12.84,8.97,16.71,0.00,0.00,0.00,0.00
"71072",СЈЕНИЦА,SJENICA,10.77,6.34,0.83,3.28,1.26,2.96,1.15,6.25,14.59,35.43,17.16,0.00,0.00
"71307",ПАНТЕЛЕЈ,PANTELEJ,0.10,1.76,5.55,5.03,6.89,2.05,5.27,9.38,17.77,39.83,6.36,0.00,0.00
"70025",АЛЕКСИНАЦ,ALEKSINAC,1.27,8.69,23.27,23.84,8.39,3.16,5.31,13.38,10.36,2.35,0.00,0.00,0.00
"71048",ЈАГОДИНА,JAGODINA,0.78,2.60,19.53,26.83,10.68,6.55,3.74,3.92,9.79,10.83,4.76,0.00,0.00
"70548",ЖИТОРАЂА,ŽITORAĐA,0.99,22.14,40.93,25.44,2.71,4.77,3.02,0.00,0.00,0.00,0.00,0.00,0.00
