MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_0,P_1,P_2,P_4,P_5,P_6,P_8,P_9,P_10,P_11,P_12,P_3,P_7
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,0.00,65.25,34.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,0.00,17.11,38.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.68,0.00
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,81.82,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,34.48,44.83,20.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733857",ПРЕШЕВО,PREŠEVO,ПРЕШЕВО,PREŠEVO,0.37,2.14,3.97,17.21,28.08,7.57,0.00,0.00,0.00,0.00,0.00,6.29,34.37
"70351","707660",БРАТОСЕЛЦЕ,BRATOSELCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733962",ЦЕРЕВАЈКА,CEREVAJKA,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733644",БУЈИЋ,BUJIĆ,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"71161","742490",ПЕТРОВАЦ,PETROVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733768",ИЛИНЦЕ,ILINCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733652",БУКОВАЦ,BUKOVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733903",СЕФЕР,SEFER,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"71161","742309",ГОРНОВАЦ,GORNOVAC,ТРГОВИШТЕ,TRGOVIŠTE,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70963","733989",ЦРНОТИНЦЕ,CRNOTINCE,ПРЕШЕВО,PREŠEVO,0.00,5.18,37.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.98,0.00
