MatBrO,ImeOpsCir,ImeOpsLat,P_1,P_2,P_3,P_4,P_5,P_6,Mean_ELEV
"80373",СЕЧАЊ,SEČANJ,100.00,0.00,0.00,0.00,0.00,0.00,77.55
"70653",КРАЉЕВО,KRALJEVO,4.24,41.16,25.30,12.13,16.77,0.40,615.12
"70394",ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,84.17,15.83,0.00,0.00,0.00,0.00,137.90
"70904",ПАРАЋИН,PARAĆIN,30.53,42.19,20.45,6.65,0.18,0.00,365.63
"80349",ПЛАНДИШТЕ,PLANDIŠTE,100.00,0.00,0.00,0.00,0.00,0.00,76.81
"71161",ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.06,18.64,20.94,55.56,4.79,1069.29
"70149",ЗВЕЗДАРА,ZVEZDARA,54.08,45.92,0.00,0.00,0.00,0.00,195.33
"70661",КРУПАЊ,KRUPANJ,4.81,64.72,25.67,4.80,0.00,0.00,436.52
"70912",ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,38.11,53.40,8.24,0.26,0.00,0.00,263.34
"80101",БЕОЧИН,BEOČIN,58.19,41.33,0.48,0.00,0.00,0.00,195.83
"71170",ТРСТЕНИК,TRSTENIK,23.13,62.75,13.55,0.57,0.00,0.00,329.37
"80357",РУМА,RUMA,99.86,0.14,0.00,0.00,0.00,0.00,93.17
"80098",БЕЛА ЦРКВА,BELA CRKVA,96.31,3.69,0.00,0.00,0.00,0.00,112.05
"70637",КОЦЕЉЕВА,KOCELJEVA,52.35,47.65,0.00,0.00,0.00,0.00,202.43
"70122",ГРОЦКА,GROCKA,69.57,30.43,0.00,0.00,0.00,0.00,170.24
"70378",ВАРВАРИН,VARVARIN,41.09,55.21,3.70,0.00,0.00,0.00,247.17
"71145",УЖИЦЕ,UŽICE,0.00,11.09,53.67,23.33,11.88,0.04,749.80
"80071",БАЧКА ТОПОЛА,BAČKA TOPOLA,100.00,0.00,0.00,0.00,0.00,0.00,107.00
"70645",КРАГУЈЕВАЦ,KRAGUJEVAC,8.29,75.55,15.30,0.75,0.11,0.00,364.50
"70386",ВЕЛИКА ПЛАНА,VELIKA PLANA,90.85,9.15,0.00,0.00,0.00,0.00,121.30
"71153",ТОПОЛА,TOPOLA,32.02,61.15,5.81,0.95,0.07,0.00,274.81
"80080",БАЧКИ ПЕТРОВАЦ,BAČKI PETROVAC,100.00,0.00,0.00,0.00,0.00,0.00,81.84
"70360",ВАЉЕВО,VALJEVO,7.65,61.82,19.29,8.75,2.49,0.00,446.75
"70106",ВОЖДОВАЦ,VOŽDOVAC,38.81,61.19,0.00,0.00,0.00,0.00,220.58
"70874",НОВИ ПАЗАР,NOVI PAZAR,0.00,1.21,36.65,31.33,29.56,1.25,889.62
"71129",СОКОБАЊА,SOKOBANJA,0.00,33.43,46.08,14.61,5.87,0.01,617.82
"80055",БАЧ,BAČ,100.00,0.00,0.00,0.00,0.00,0.00,82.14
"70629",КОСЈЕРИЋ,KOSJERIĆ,0.00,13.90,67.55,15.37,3.18,0.00,664.17
"80314",ПАНЧЕВО,PANČEVO,100.00,0.00,0.00,0.00,0.00,0.00,86.24
"70114",ВРАЧАР,VRAČAR,100.00,0.00,0.00,0.00,0.00,0.00,138.27
"70092",БАРАЈЕВО,BARAJEVO,66.65,33.35,0.00,0.00,0.00,0.00,186.57
"70882",ОСЕЧИНА,OSEČINA,2.48,78.50,15.08,3.94,0.00,0.00,389.37
"71137",СУРДУЛИЦА,SURDULICA,0.00,5.31,9.85,13.27,61.38,10.19,1141.00
"80063",БАЧКА ПАЛАНКА,BAČKA PALANKA,98.47,1.53,0.00,0.00,0.00,0.00,87.98
"70343",БРУС,BRUS,0.00,16.21,30.11,21.43,28.97,3.28,850.03
"80322",ПЕЋИНЦИ,PEĆINCI,100.00,0.00,0.00,0.00,0.00,0.00,77.60
"70599",КНИЋ,KNIĆ,0.00,84.24,15.59,0.17,0.00,0.00,376.85
"70602",КЊАЖЕВАЦ,KNJAŽEVAC,1.27,33.39,45.05,12.60,6.60,1.08,621.30
"80039",АЛИБУНАР,ALIBUNAR,100.00,0.00,0.00,0.00,0.00,0.00,109.64
"70351",БУЈАНОВАЦ,BUJANOVAC,0.00,30.89,52.22,9.05,7.84,0.00,627.85
"70076",БАТОЧИНА,BATOČINA,72.05,27.95,0.00,0.00,0.00,0.00,169.68
"70866",НОВА ВАРОШ,NOVA VAROŠ,0.00,0.23,4.85,22.31,72.52,0.09,1086.32
"80047",АПАТИН,APATIN,100.00,0.00,0.00,0.00,0.00,0.00,83.76
"71099",СМЕДЕРЕВО,SMEDEREVO,92.33,7.67,0.00,0.00,0.00,0.00,119.62
"70327",БОР,BOR,1.42,56.76,28.24,11.18,2.39,0.00,513.93
"71102",СМЕДЕРЕВСКА ПАЛАНКА,SMEDEREVSKA PALANKA,85.48,14.52,0.00,0.00,0.00,0.00,159.09
"80306",ОЏАЦИ,ODŽACI,100.00,0.00,0.00,0.00,0.00,0.00,83.60
"70840",НЕГОТИН,NEGOTIN,42.98,52.71,3.76,0.49,0.06,0.00,232.58
"71358",ВРАЊСКА БАЊА,VRANJSKA BANJA,0.00,11.37,23.47,19.76,41.98,3.41,937.03
"70084",БЕЛА ПАЛАНКА,BELA PALANKA,0.00,31.17,39.12,16.29,13.00,0.42,673.00
"80284",НОВИ САД,NOVI SAD,100.00,0.00,0.00,0.00,0.00,0.00,80.09
"70335",БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,3.10,18.44,64.54,13.92,1227.43
"80292",ОПОВО,OPOVO,100.00,0.00,0.00,0.00,0.00,0.00,76.26
"70572",КЛАДОВО,KLADOVO,50.82,47.41,1.77,0.00,0.00,0.00,229.56
"71340",КОСТОЛАЦ,KOSTOLAC,100.00,0.00,0.00,0.00,0.00,0.00,75.26
"80012",АДА,ADA,100.00,0.00,0.00,0.00,0.00,0.00,86.12
"70068",БАЈИНА БАШТА,BAJINA BAŠTA,0.24,21.02,31.95,22.07,24.61,0.12,767.25
"70823",МЕРОШИНА,MEROŠINA,3.01,81.55,13.90,1.54,0.00,0.00,365.69
"80268",НОВИ БЕЧЕЈ,NOVI BEČEJ,100.00,0.00,0.00,0.00,0.00,0.00,77.06
"70319",БОЉЕВАЦ,BOLJEVAC,1.02,48.67,35.80,13.30,1.20,0.00,538.73
"80519",НОВИ САД,NOVI SAD,58.57,41.04,0.40,0.00,0.00,0.00,203.16
"80276",НОВИ КНЕЖЕВАЦ,NOVI KNEŽEVAC,100.00,0.00,0.00,0.00,0.00,0.00,78.04
"70831",МИОНИЦА,MIONICA,20.75,56.75,18.64,3.59,0.26,0.00,372.11
"70556",ЗАЈЕЧАР,ZAJEČAR,21.01,71.30,6.62,0.90,0.17,0.00,308.53
"71323",ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),37.04,52.43,10.21,0.32,0.00,0.00,294.44
"70041",АРИЉЕ,ARILJE,0.00,20.77,47.98,22.50,8.74,0.00,696.60
"70297",БОЈНИК,BOJNIK,0.00,79.91,12.85,2.95,4.28,0.00,411.83
"70807",МАЛО ЦРНИЋЕ,MALO CRNIĆE,78.15,21.85,0.00,0.00,0.00,0.00,154.55
"71064",СВРЉИГ,SVRLJIG,0.00,28.25,60.13,6.28,5.33,0.00,606.76
"70564",ИВАЊИЦА,IVANJICA,0.00,1.92,21.73,25.53,46.40,4.42,1015.24
"70050",БАБУШНИЦА,BABUŠNICA,0.00,8.30,46.26,23.30,21.97,0.16,802.05
"71331",МЕДИЈАНА,MEDIJANA,74.00,26.00,0.00,0.00,0.00,0.00,200.05
"80250",НОВА ЦРЊА,NOVA CRNJA,100.00,0.00,0.00,0.00,0.00,0.00,76.75
"70815",МЕДВЕЂА,MEDVEĐA,0.00,12.31,63.32,20.14,4.24,0.00,691.58
"71072",СЈЕНИЦА,SJENICA,0.00,0.00,0.65,3.29,94.24,1.82,1196.93
"71307",ПАНТЕЛЕЈ,PANTELEJ,0.63,60.53,37.21,1.59,0.04,0.00,448.31
"70025",АЛЕКСИНАЦ,ALEKSINAC,23.62,55.00,17.61,2.72,1.05,0.00,356.02
