MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_1,P_2,P_3,P_4,P_5,P_6,Mean_ELEV
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,0.00,100.00,0.00,0.00,0.00,0.00,452.62
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,0.00,10.71,58.33,30.96,0.00,0.00,713.12
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,0.00,45.18,54.82,0.00,0.00,0.00,524.85
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,0.00,100.00,0.00,0.00,0.00,0.00,443.38
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,0.00,43.73,56.27,0.00,0.00,0.00,528.85
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,0.00,0.00,9.56,84.46,5.99,0.00,891.20
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,0.00,57.70,42.30,0.00,0.00,0.00,516.40
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,13.35,83.74,2.91,0.00,872.48
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,0.00,0.00,100.00,0.00,0.00,0.00,712.85
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,0.00,41.04,58.96,0.00,0.00,0.00,546.25
"70963","733857",ПРЕШЕВО,PREŠEVO,ПРЕШЕВО,PREŠEVO,0.00,43.42,41.10,14.91,0.57,0.00,607.68
"70351","707660",БРАТОСЕЛЦЕ,BRATOSELCE,БУЈАНОВАЦ,BUJANOVAC,0.00,46.65,53.35,0.00,0.00,0.00,524.34
"70963","733962",ЦЕРЕВАЈКА,CEREVAJKA,ПРЕШЕВО,PREŠEVO,0.00,0.00,44.48,55.52,0.00,0.00,802.29
"70963","733644",БУЈИЋ,BUJIĆ,ПРЕШЕВО,PREŠEVO,0.00,0.00,33.24,66.76,0.00,0.00,825.77
"71161","742490",ПЕТРОВАЦ,PETROVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,8.05,65.97,25.98,0.00,938.56
"70963","733768",ИЛИНЦЕ,ILINCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,82.28,17.72,0.00,0.00,750.36
"70963","733652",БУКОВАЦ,BUKOVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,100.00,0.00,0.00,0.00,676.37
"70963","733903",СЕФЕР,SEFER,ПРЕШЕВО,PREŠEVO,0.00,0.00,23.68,76.32,0.00,0.00,844.00
"71161","742309",ГОРНОВАЦ,GORNOVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,6.22,39.52,54.25,0.00,1011.87
"70963","733989",ЦРНОТИНЦЕ,CRNOTINCE,ПРЕШЕВО,PREŠEVO,0.00,61.12,38.88,0.00,0.00,0.00,487.45
"70963","733725",ГОСПОЂИНЦЕ,GOSPOĐINCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,82.38,17.62,0.00,0.00,726.96
"70963","733849",ПЕЧЕНО,PEČENO,ПРЕШЕВО,PREŠEVO,0.00,0.00,20.61,79.39,0.00,0.00,850.94
"70351","707848",ЈАБЛАНИЦА,JABLANICA,БУЈАНОВАЦ,BUJANOVAC,0.00,19.85,78.88,1.27,0.00,0.00,592.71
"70963","733750",ЖУЈИНЦЕ,ŽUJINCE,ПРЕШЕВО,PREŠEVO,0.00,80.16,19.84,0.00,0.00,0.00,480.20
"70963","733679",БУКАРЕВАЦ,BUKAREVAC,ПРЕШЕВО,PREŠEVO,0.00,80.49,19.51,0.00,0.00,0.00,460.11
"70963","733741",ДОЊА ШУШАЈА,DONJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,0.00,79.39,20.61,0.00,0.00,0.00,474.16
"70963","733822",ОРАОВИЦА,ORAOVICA,ПРЕШЕВО,PREŠEVO,0.00,37.77,62.23,0.00,0.00,0.00,557.94
"70351","708089",ПРЕТИНА,PRETINA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,100.00,0.00,0.00,0.00,626.47
"70351","707619",БАРАЉЕВАЦ,BARALJEVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,10.53,89.25,0.22,0.00,0.00,604.00
"71161","742481",НОВО СЕЛО,NOVO SELO,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,92.50,7.50,0.00,0.00,643.77
"70351","708038",НЕГОВАЦ,NEGOVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,45.36,54.64,0.00,0.00,0.00,514.46
"70351","707872",КЛЕНИКЕ,KLENIKE,БУЈАНОВАЦ,BUJANOVAC,0.00,49.41,50.59,0.00,0.00,0.00,506.67
"71161","742279",БАРБАЦЕ,BARBACE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,94.26,5.74,0.00,0.00,652.13
"70963","733695",ГАРЕ,GARE,ПРЕШЕВО,PREŠEVO,0.00,0.00,71.42,28.58,0.00,0.00,751.58
"71161","742317",ГОРЊА ТРНИЦА,GORNJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,3.69,29.51,66.81,0.00,1071.68
"70351","708143",САМОЉИЦА,SAMOLJICA,БУЈАНОВАЦ,BUJANOVAC,0.00,67.23,32.77,0.00,0.00,0.00,482.41
"71161","742597",ШАЈИНЦЕ,ŠAJINCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,75.67,23.51,0.81,0.00,732.31
"70351","707686",БРЊАРЕ,BRNJARE,БУЈАНОВАЦ,BUJANOVAC,0.00,2.74,97.26,0.00,0.00,0.00,580.36
"70351","708151",СЕБРАТ,SEBRAT,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,68.21,31.79,0.00,0.00,749.97
"70963","733717",ГОРЊА ШУШАЈА,GORNJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,0.00,0.00,100.00,0.00,0.00,0.00,620.57
"70963","733733",ДЕПЦЕ,DEPCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,24.55,75.45,0.00,0.00,839.04
"70351","707627",БИЉАЧА,BILJAČA,БУЈАНОВАЦ,BUJANOVAC,0.00,44.01,53.88,2.11,0.00,0.00,545.68
"70351","708178",СПАНЧЕВАЦ,SPANČEVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,2.78,96.39,0.83,0.00,0.00,608.47
"71161","742546",ТРГОВИШТЕ,TRGOVIŠTE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,34.41,46.78,18.81,0.00,860.36
"70963","733873",РАНАТОВЦЕ,RANATOVCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,98.68,1.32,0.00,0.00,721.60
"70963","733792",МАЂАРЕ,MAĐARE,ПРЕШЕВО,PREŠEVO,0.00,0.00,77.39,22.61,0.00,0.00,741.77
"70351","708160",СЕЈАЦЕ,SEJACE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,98.80,1.20,0.00,0.00,663.45
"70351","707988",ЛУКАРЦЕ,LUKARCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,8.11,91.89,0.00,0.00,882.82
"71161","742384",ДУМБИЈА,DUMBIJA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,33.75,42.56,23.69,0.00,873.82
"70335","706779",ДОЊЕ ТЛАМИНО,DONJE TLAMINO,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,31.16,68.84,0.00,1071.67
"71161","742392",ЂЕРЕКАРЦЕ,ĐEREKARCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,27.29,45.64,27.07,0.00,901.96
"70351","707945",КУШТИЦА,KUŠTICA,БУЈАНОВАЦ,BUJANOVAC,0.00,7.42,92.58,0.00,0.00,0.00,585.45
"70963","733865",РАЈИНЦЕ,RAJINCE,ПРЕШЕВО,PREŠEVO,0.00,56.06,43.94,0.00,0.00,0.00,499.94
"70963","733636",БЕРЧЕВАЦ,BERČEVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,88.46,11.54,0.00,0.00,696.44
"70351","707783",ДОЊЕ НОВО СЕЛО,DONJE NOVO SELO,БУЈАНОВАЦ,BUJANOVAC,0.00,0.36,73.61,26.03,0.00,0.00,705.89
"70351","707767",ГРАМАДА,GRAMADA,БУЈАНОВАЦ,BUJANOVAC,0.00,55.51,44.49,0.00,0.00,0.00,498.80
"70351","707961",ЛЕТОВИЦА,LETOVICA,БУЈАНОВАЦ,BUJANOVAC,0.00,54.99,41.60,3.41,0.00,0.00,529.84
"71161","742350",ДОЊА ТРНИЦА,DONJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,55.07,22.52,22.41,0.00,839.84
"71161","742619",ШАПРАНЦЕ,ŠAPRANCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,86.25,13.75,0.00,0.00,694.25
"70351","707929",КОШАРНО,KOŠARNO,БУЈАНОВАЦ,BUJANOVAC,0.00,0.45,92.92,6.62,0.00,0.00,665.25
"70351","707791",ДРЕЖНИЦА,DREŽNICA,БУЈАНОВАЦ,BUJANOVAC,0.00,39.29,60.71,0.00,0.00,0.00,517.16
"70351","707856",ЈАСТРЕБАЦ,JASTREBAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,100.00,0.00,0.00,0.00,627.97
"70335","706825",ЈАРЕШНИК,JAREŠNIK,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.35,78.42,21.23,1365.77
"70351","708216",ТРЕЈАК,TREJAK,БУЈАНОВАЦ,BUJANOVAC,0.00,7.79,88.15,4.06,0.00,0.00,642.67
"71161","742287",ВЛАДОВЦЕ,VLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,99.88,0.12,0.00,0.00,675.30
"70351","708135",РУСЦЕ,RUSCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,100.00,0.00,0.00,0.00,699.51
"71161","742465",МЕЗДРАЈА,MEZDRAJA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,97.54,2.46,0.00,0.00,706.32
"70335","706582",БИСТАР,BISTAR,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.17,29.17,70.66,0.00,1119.06
"70351","707708",БУШТРАЊЕ,BUŠTRANJE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,100.00,0.00,0.00,0.00,645.61
"70351","708062",СВЕТА ПЕТКА,SVETA PETKA,БУЈАНОВАЦ,BUJANOVAC,0.00,31.16,68.84,0.00,0.00,0.00,527.53
"70335","706728",ДОГАНИЦА,DOGANICA,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,41.76,58.24,1522.01
"70351","707732",ВРБАН,VRBAN,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,82.88,17.12,0.00,0.00,703.47
"71161","742341",ДЕЈАНЦЕ,DEJANCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,9.75,28.29,61.03,0.93,1077.61
"70432","712035",РУСЦЕ,RUSCE,ВРАЊЕ,VRANJE,0.00,0.00,94.19,5.81,0.00,0.00,755.61
"70351","707651",БОРОВАЦ,BOROVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,56.90,43.10,0.00,0.00,0.00,485.56
"70335","706957",РИКАЧЕВО,RIKAČEVO,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,6.79,49.55,43.65,0.00,995.57
"71161","742406",ЗЛАДОВЦЕ,ZLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,3.98,25.51,65.64,4.87,1128.35
"71161","742457",МАРГАНЦЕ,MARGANCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,42.59,57.41,0.00,0.00,817.82
"70351","707635",БОГДАНОВАЦ,BOGDANOVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,20.82,79.13,0.05,0.00,0.00,567.12
"71161","742589",ЦРНОВЦЕ,CRNOVCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,17.65,23.41,58.29,0.64,1055.02
"70432","711276",БУШТРАЊЕ,BUŠTRANJE,ВРАЊЕ,VRANJE,0.00,2.95,94.55,2.50,0.00,0.00,630.24
"70351","708046",НЕСАЛЦЕ,NESALCE,БУЈАНОВАЦ,BUJANOVAC,0.00,35.27,57.06,7.67,0.00,0.00,602.06
"70335","706809",ЗЛИ ДОЛ,ZLI DOL,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.26,22.72,70.14,6.89,1180.75
"70351","707643",БОЖИЊЕВАЦ,BOŽINJEVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,98.13,1.87,0.00,0.00,0.00,437.15
"70351","707953",ЛЕВОСОЈЕ,LEVOSOJE,БУЈАНОВАЦ,BUJANOVAC,0.00,90.37,9.63,0.00,0.00,0.00,431.41
"70432","711462",ДОЊЕ ПУНУШЕВЦЕ,DONJE PUNUŠEVCE,ВРАЊЕ,VRANJE,0.00,0.00,0.22,34.66,65.11,0.00,1057.12
"70432","711624",КОПАЊАНЕ,KOPANJANE,ВРАЊЕ,VRANJE,0.00,0.00,80.22,19.78,0.00,0.00,729.48
"71161","742376",ДОЊИ СТАЈЕВАЦ,DONJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,20.16,79.84,0.00,1124.13
"70432","711268",БУЉЕСОВЦЕ,BULJESOVCE,ВРАЊЕ,VRANJE,0.00,0.00,98.15,1.85,0.00,0.00,690.12
