MatBrO,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"80373",СЕЧАЊ,SEČANJ,13.25,7.92,695.93,1874.87
"70653",КРАЉЕВО,KRALJEVO,31.09,24.81,10203.47,12084.07
"70394",ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,38.83,27.09,2118.71,2807.70
"70904",ПАРАЋИН,PARAĆIN,36.26,27.79,3584.18,5044.74
"80349",ПЛАНДИШТЕ,PLANDIŠTE,23.01,10.47,816.59,1511.02
"71161",ТРГОВИШТЕ,TRGOVIŠTE,8.83,2.70,189.91,721.56
"70149",ЗВЕЗДАРА,ZVEZDARA,96.54,100.00,6132.45,6207.78
"70661",КРУПАЊ,KRUPANJ,20.87,4.79,423.49,1016.68
"70912",ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,31.27,13.83,1695.96,2880.98
"80101",БЕОЧИН,BEOČIN,38.14,32.41,1347.07,1767.37
"71170",ТРСТЕНИК,TRSTENIK,32.98,11.45,1615.42,2262.30
"80357",РУМА,RUMA,32.09,26.89,3678.74,5921.60
"80098",БЕЛА ЦРКВА,BELA CRKVA,21.25,15.23,1294.38,2323.02
"70637",КОЦЕЉЕВА,KOCELJEVA,22.69,9.05,580.32,1204.81
"70122",ГРОЦКА,GROCKA,67.79,82.21,6259.36,8051.81
"70378",ВАРВАРИН,VARVARIN,32.21,11.20,578.64,1083.70
"71145",УЖИЦЕ,UŽICE,33.88,23.53,4622.13,6209.69
"80071",БАЧКА ТОПОЛА,BAČKA TOPOLA,20.96,12.33,1961.48,3244.87
"70645",КРАГУЈЕВАЦ,KRAGUJEVAC,56.52,46.19,11667.91,14244.67
"70386",ВЕЛИКА ПЛАНА,VELIKA PLANA,47.35,33.39,2680.31,3380.41
"71153",ТОПОЛА,TOPOLA,37.33,26.05,1215.44,2397.82
"80080",БАЧКИ ПЕТРОВАЦ,BAČKI PETROVAC,29.62,26.25,1147.92,1586.24
"70360",ВАЉЕВО,VALJEVO,26.07,16.93,6492.99,7987.37
"70106",ВОЖДОВАЦ,VOŽDOVAC,93.47,97.76,9938.94,10464.20
"70874",НОВИ ПАЗАР,NOVI PAZAR,27.14,20.65,5330.19,7649.12
"71129",СОКОБАЊА,SOKOBANJA,16.40,5.69,676.10,1550.95
"80055",БАЧ,BAČ,18.71,13.43,1065.18,1936.45
"70629",КОСЈЕРИЋ,KOSJERIĆ,15.91,10.32,1221.32,1901.26
"80314",ПАНЧЕВО,PANČEVO,30.15,46.74,16828.12,17877.06
"70114",ВРАЧАР,VRAČAR,100.00,100.00,2127.58,1997.56
"70092",БАРАЈЕВО,BARAJEVO,79.39,93.70,3698.37,5117.96
"70882",ОСЕЧИНА,OSEČINA,19.59,6.69,505.61,1122.29
"71137",СУРДУЛИЦА,SURDULICA,13.62,7.64,974.88,2118.69
"80063",БАЧКА ПАЛАНКА,BAČKA PALANKA,24.09,19.29,3732.09,5180.29
"70343",БРУС,BRUS,19.27,11.09,1191.76,2433.52
"80322",ПЕЋИНЦИ,PEĆINCI,22.98,23.02,2260.33,4353.05
"70599",КНИЋ,KNIĆ,32.91,21.58,1033.33,2268.38
"70602",КЊАЖЕВАЦ,KNJAŽEVAC,21.52,9.78,2509.31,4527.52
"80039",АЛИБУНАР,ALIBUNAR,18.01,10.25,1906.58,2671.50
"70351",БУЈАНОВАЦ,BUJANOVAC,30.45,16.17,1522.76,2483.37
"70076",БАТОЧИНА,BATOČINA,61.26,47.39,999.78,1452.45
"70866",НОВА ВАРОШ,NOVA VAROŠ,13.22,4.17,994.42,1645.74
"80047",АПАТИН,APATIN,17.79,12.43,1620.48,2472.67
