MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,97.23,100.00,19.72,67.77
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,45.47,45.22,17.43,57.51
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,61.38,62.94,19.14,63.60
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,16.13,44.45,2.39,20.47
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,30.56,46.09,7.13,55.79
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,9.32,0.00,1.73,19.08
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,25.44,21.05,8.48,42.64
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,6.27,0.37,1.03,18.90
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,13.01
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,20.58,31.35,5.28,64.11
"70963","733857",ПРЕШЕВО,PREŠEVO,ПРЕШЕВО,PREŠEVO,66.56,62.30,278.29,607.14
"70351","707660",БРАТОСЕЛЦЕ,BRATOSELCE,БУЈАНОВАЦ,BUJANOVAC,18.21,1.06,1.39,11.52
"70963","733962",ЦЕРЕВАЈКА,CEREVAJKA,ПРЕШЕВО,PREŠEVO,16.51,0.00,2.03,9.90
"70963","733644",БУЈИЋ,BUJIĆ,ПРЕШЕВО,PREŠEVO,55.07,38.28,12.60,15.57
"71161","742490",ПЕТРОВАЦ,PETROVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,4.31
"70963","733768",ИЛИНЦЕ,ILINCE,ПРЕШЕВО,PREŠEVO,58.75,12.65,10.10,17.84
"70963","733652",БУКОВАЦ,BUKOVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,5.25
"70963","733903",СЕФЕР,SEFER,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,11.85
"71161","742309",ГОРНОВАЦ,GORNOVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,8.48
"70963","733989",ЦРНОТИНЦЕ,CRNOTINCE,ПРЕШЕВО,PREŠEVO,58.86,41.96,22.43,74.85
"70963","733725",ГОСПОЂИНЦЕ,GOSPOĐINCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,7.54
"70963","733849",ПЕЧЕНО,PEČENO,ПРЕШЕВО,PREŠEVO,9.15,0.00,0.59,5.76
"70351","707848",ЈАБЛАНИЦА,JABLANICA,БУЈАНОВАЦ,BUJANOVAC,35.68,0.00,2.21,6.52
"70963","733750",ЖУЈИНЦЕ,ŽUJINCE,ПРЕШЕВО,PREŠEVO,34.74,53.29,13.01,137.32
"70963","733679",БУКАРЕВАЦ,BUKAREVAC,ПРЕШЕВО,PREŠEVO,61.19,38.82,11.32,36.28
"70963","733741",ДОЊА ШУШАЈА,DONJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,83.98,88.15,2.80,12.57
"70963","733822",ОРАОВИЦА,ORAOVICA,ПРЕШЕВО,PREŠEVO,28.76,27.68,38.41,141.53
"70351","708089",ПРЕТИНА,PRETINA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,3.29
"70351","707619",БАРАЉЕВАЦ,BARALJEVAC,БУЈАНОВАЦ,BUJANOVAC,22.25,1.77,3.71,14.64
"71161","742481",НОВО СЕЛО,NOVO SELO,ТРГОВИШТЕ,TRGOVIŠTE,56.73,17.30,10.80,15.75
"70351","708038",НЕГОВАЦ,NEGOVAC,БУЈАНОВАЦ,BUJANOVAC,11.36,7.31,1.26,14.07
"70351","707872",КЛЕНИКЕ,KLENIKE,БУЈАНОВАЦ,BUJANOVAC,93.14,38.18,2.98,4.46
"71161","742279",БАРБАЦЕ,BARBACE,ТРГОВИШТЕ,TRGOVIŠTE,25.25,0.00,5.85,18.52
"70963","733695",ГАРЕ,GARE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,10.03
"71161","742317",ГОРЊА ТРНИЦА,GORNJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,3.92,0.00,1.14,19.79
"70351","708143",САМОЉИЦА,SAMOLJICA,БУЈАНОВАЦ,BUJANOVAC,56.18,45.01,18.95,44.38
"71161","742597",ШАЈИНЦЕ,ŠAJINCE,ТРГОВИШТЕ,TRGOVIŠTE,25.32,7.56,8.24,24.82
"70351","707686",БРЊАРЕ,BRNJARE,БУЈАНОВАЦ,BUJANOVAC,36.59,0.00,4.94,11.53
"70351","708151",СЕБРАТ,SEBRAT,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,19.43
"70963","733717",ГОРЊА ШУШАЈА,GORNJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,50.14,6.48,3.78,9.25
"70963","733733",ДЕПЦЕ,DEPCE,ПРЕШЕВО,PREŠEVO,32.12,1.32,9.21,24.88
"70351","707627",БИЉАЧА,BILJAČA,БУЈАНОВАЦ,BUJANOVAC,36.22,22.28,41.97,113.42
"70351","708178",СПАНЧЕВАЦ,SPANČEVAC,БУЈАНОВАЦ,BUJANOVAC,21.87,0.00,4.22,15.34
"71161","742546",ТРГОВИШТЕ,TRGOVIŠTE,ТРГОВИШТЕ,TRGOVIŠTE,34.63,23.94,75.45,97.70
"70963","733873",РАНАТОВЦЕ,RANATOVCE,ПРЕШЕВО,PREŠEVO,5.44,0.00,0.30,5.80
"70963","733792",МАЂАРЕ,MAĐARE,ПРЕШЕВО,PREŠEVO,10.32,0.00,0.74,8.61
"70351","708160",СЕЈАЦЕ,SEJACE,БУЈАНОВАЦ,BUJANOVAC,29.54,0.00,5.55,13.66
