MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,LEN_All,Area
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,1.89,0.00,0.32,0.11,0.59,2.91,7.8328,0.0000,1.3137,0.4658,2.4313,12.0436,4.1445
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.22,0.22,0.0000,0.0000,0.0000,0.0000,1.3159,1.3159,6.1006
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.20,0.33,0.53,0.0000,0.0000,0.0056,1.0230,1.6602,2.6888,5.0849
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0441
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,0.03,0.00,0.00,0.20,0.13,0.36,0.1387,0.0000,0.0000,1.0698,0.6841,1.8926,5.2408
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5289
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.39,0.38,0.0000,0.0000,0.0000,0.0000,3.4642,3.4642,9.0030
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7577
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3261
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.03,0.25,0.28,0.0000,0.0000,0.0000,0.2565,2.3924,2.6489,9.5004
"70963","733857",ПРЕШЕВО,PREŠEVO,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.50,0.00,0.35,0.85,0.0000,0.0000,11.2710,0.0000,7.7438,19.0148,22.4379
"70351","707660",БРАТОСЕЛЦЕ,BRATOSELCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.07,0.00,0.07,0.0000,0.0000,0.0000,0.2808,0.0000,0.2808,3.8768
"70963","733962",ЦЕРЕВАЈКА,CEREVAJKA,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3057
"70963","733644",БУЈИЋ,BUJIĆ,ПРЕШЕВО,PREŠEVO,0.00,0.00,1.26,0.00,0.17,1.43,0.0000,0.0000,3.1782,0.0000,0.4346,3.6128,2.5244
"71161","742490",ПЕТРОВАЦ,PETROVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2612
"70963","733768",ИЛИНЦЕ,ILINCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.02,0.00,0.67,0.69,0.0000,0.0000,0.0718,0.0000,3.1385,3.2103,4.6640
"70963","733652",БУКОВАЦ,BUKOVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0573
"70963","733903",СЕФЕР,SEFER,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8920
