MatBrO,ImeOpsCir,ImeOpsLat,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,Area,LEN_All,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All
"80373",СЕЧАЊ,SEČANJ,0.0000,0.0000,24.0732,35.0691,32.5772,524.0528,91.7195,0.00,0.00,0.05,0.07,0.06,0.18
"70653",КРАЉЕВО,KRALJEVO,0.0000,0.0000,139.5144,77.7804,89.8390,1530.0839,307.1338,0.00,0.00,0.09,0.05,0.06,0.20
"70394",ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,0.0000,0.0000,33.2726,14.4966,35.2237,342.3215,82.9929,0.00,0.00,0.10,0.04,0.10,0.24
"70904",ПАРАЋИН,PARAĆIN,39.9062,0.0000,22.0311,29.9089,65.0331,540.6634,156.8793,0.07,0.00,0.04,0.06,0.12,0.29
"80349",ПЛАНДИШТЕ,PLANDIŠTE,0.0000,0.0000,32.4653,10.8717,0.0000,383.3228,43.3370,0.00,0.00,0.08,0.03,0.00,0.11
"71161",ТРГОВИШТЕ,TRGOVIŠTE,0.0000,0.0000,0.0000,55.7708,2.8118,370.9822,58.5826,0.00,0.00,0.00,0.15,0.01,0.16
"70149",ЗВЕЗДАРА,ZVEZDARA,12.1107,0.0000,0.0000,29.5610,33.9894,31.1426,75.6611,0.39,0.00,0.00,0.95,1.09,2.43
"70661",КРУПАЊ,KRUPANJ,0.0000,0.0000,6.5669,52.2513,29.3514,341.9397,88.1696,0.00,0.00,0.02,0.15,0.09,0.26
"70912",ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,0.0000,0.0000,0.0000,100.6455,44.4873,654.9381,145.1328,0.00,0.00,0.00,0.15,0.07,0.22
"80101",БЕОЧИН,BEOČIN,0.0000,0.0000,0.0000,33.3573,27.7388,184.1601,61.0961,0.00,0.00,0.00,0.18,0.15,0.33
"71170",ТРСТЕНИК,TRSTENIK,0.0000,0.0000,19.3240,69.3282,3.3293,447.7734,91.9815,0.00,0.00,0.04,0.15,0.01,0.21
"80357",РУМА,RUMA,39.6785,0.0000,33.0117,40.0245,53.8365,582.7154,166.5512,0.07,0.00,0.06,0.07,0.09,0.29
"80098",БЕЛА ЦРКВА,BELA CRKVA,0.0000,0.0000,27.0121,13.8650,9.2351,354.4810,50.1122,0.00,0.00,0.08,0.04,0.03,0.14
"70637",КОЦЕЉЕВА,KOCELJEVA,0.0000,0.0000,18.5442,43.4187,15.3674,257.2548,77.3303,0.00,0.00,0.07,0.17,0.06,0.30
"70122",ГРОЦКА,GROCKA,52.1905,0.0000,0.0000,32.5567,62.2027,299.1753,146.9499,0.17,0.00,0.00,0.11,0.21,0.49
"70378",ВАРВАРИН,VARVARIN,0.0000,0.0000,0.0000,55.9895,11.2648,249.4027,67.2543,0.00,0.00,0.00,0.22,0.05,0.27
"71145",УЖИЦЕ,UŽICE,0.0000,0.0000,63.2598,68.7994,40.8953,666.8927,172.9545,0.00,0.00,0.09,0.10,0.06,0.26
"80071",БАЧКА ТОПОЛА,BAČKA TOPOLA,24.9167,0.0000,0.0000,97.4488,0.0000,595.6330,122.3655,0.04,0.00,0.00,0.16,0.00,0.21
"70645",КРАГУЈЕВАЦ,KRAGUJEVAC,0.0000,17.5850,55.9134,45.8154,87.8151,834.9068,207.1289,0.00,0.02,0.07,0.05,0.11,0.25
"70386",ВЕЛИКА ПЛАНА,VELIKA PLANA,66.2869,0.0000,10.0638,47.4106,26.5190,346.1374,150.2803,0.19,0.00,0.03,0.14,0.08,0.43
"71153",ТОПОЛА,TOPOLA,0.0000,0.0000,39.9922,21.9346,22.4837,356.5605,84.4105,0.00,0.00,0.11,0.06,0.06,0.24
"80080",БАЧКИ ПЕТРОВАЦ,BAČKI PETROVAC,0.0000,0.0000,3.8933,14.5598,18.5211,158.6960,36.9742,0.00,0.00,0.02,0.09,0.12,0.23
"70360",ВАЉЕВО,VALJEVO,0.0000,0.0000,92.4071,97.4614,89.6815,905.4021,279.5500,0.00,0.00,0.10,0.11,0.10,0.31
"70106",ВОЖДОВАЦ,VOŽDOVAC,21.2882,0.0000,0.0000,68.8791,76.2784,148.5254,166.4457,0.14,0.00,0.00,0.46,0.51,1.12
"70874",НОВИ ПАЗАР,NOVI PAZAR,0.0000,0.0000,64.9736,80.1257,27.2028,743.1515,172.3021,0.00,0.00,0.09,0.11,0.04,0.23
"71129",СОКОБАЊА,SOKOBANJA,0.0000,0.0000,0.0000,63.0684,9.9070,525.4702,72.9754,0.00,0.00,0.00,0.12,0.02,0.14
"80055",БАЧ,BAČ,0.0000,0.0000,8.9039,23.2200,26.5062,367.3714,58.6301,0.00,0.00,0.02,0.06,0.07,0.16
"70629",КОСЈЕРИЋ,KOSJERIĆ,0.0000,0.0000,32.5177,33.0795,87.4591,358.5435,153.0563,0.00,0.00,0.09,0.09,0.24,0.43
"80314",ПАНЧЕВО,PANČEVO,0.0000,7.7761,39.2256,37.2678,41.9021,755.3851,126.1716,0.00,0.01,0.05,0.05,0.06,0.17
"70114",ВРАЧАР,VRAČAR,0.0000,0.0000,0.0069,15.7905,4.4795,2.8921,20.2769,0.00,0.00,0.00,5.46,1.55,7.01
"70092",БАРАЈЕВО,BARAJEVO,0.0000,0.0000,13.7251,20.4318,24.8115,213.1362,58.9684,0.00,0.00,0.06,0.10,0.12,0.28
"70882",ОСЕЧИНА,OSEČINA,0.0000,0.0000,19.5325,44.4730,23.7651,318.8005,87.7706,0.00,0.00,0.06,0.14,0.07,0.28
"71137",СУРДУЛИЦА,SURDULICA,0.0000,0.0000,46.4510,29.6958,32.9534,628.4151,109.1002,0.00,0.00,0.07,0.05,0.05,0.17
"80063",БАЧКА ПАЛАНКА,BAČKA PALANKA,0.0000,0.0000,39.6335,70.7676,21.2110,590.4854,131.6121,0.00,0.00,0.07,0.12,0.04,0.22
"70343",БРУС,BRUS,0.0000,0.0000,9.8056,100.3002,0.5026,605.7593,110.6084,0.00,0.00,0.02,0.17,0.00,0.18
"80322",ПЕЋИНЦИ,PEĆINCI,36.8393,0.0000,0.0000,31.5142,49.2609,488.5091,117.6144,0.08,0.00,0.00,0.06,0.10,0.24
"70599",КНИЋ,KNIĆ,0.0000,0.0000,32.4087,6.6728,22.9193,412.8364,62.0008,0.00,0.00,0.08,0.02,0.06,0.15
"70602",КЊАЖЕВАЦ,KNJAŽEVAC,0.0000,0.0000,30.0299,113.7475,130.8888,1202.2728,274.6662,0.00,0.00,0.02,0.09,0.11,0.23
"80039",АЛИБУНАР,ALIBUNAR,0.0000,0.0000,24.4596,17.6507,36.2836,597.8902,78.3939,0.00,0.00,0.04,0.03,0.06,0.13
"70351",БУЈАНОВАЦ,BUJANOVAC,42.6299,0.0000,15.0575,50.1898,44.2606,460.8486,152.1378,0.09,0.00,0.03,0.11,0.10,0.33
"70076",БАТОЧИНА,BATOČINA,9.4770,25.2573,0.0000,5.2840,13.5383,135.6267,53.5566,0.07,0.19,0.00,0.04,0.10,0.39
"70866",НОВА ВАРОШ,NOVA VAROŠ,0.0000,0.0000,53.9095,46.5290,13.0983,582.1480,113.5368,0.00,0.00,0.09,0.08,0.02,0.20
"80047",АПАТИН,APATIN,0.0000,0.0000,0.0000,29.6372,9.3715,380.0905,39.0087,0.00,0.00,0.00,0.08,0.02,0.10
