MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Decl/Grow,Traff_Name,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,LEN_All,Area,Traff_Key
"70963","733997",ЧУКАРКА,ČUKARKA,ПРЕШЕВО,PREŠEVO,No data,No data,1.89,0.00,0.32,0.11,0.59,2.91,7.8328,0.0000,1.3137,0.4658,2.4313,12.0436,4.1445,"6"
"70963","733814",НОРЧА,NORČA,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.22,0.22,0.0000,0.0000,0.0000,0.0000,1.3159,1.3159,6.1006,"6"
"70963","733628",АЛИЂЕРЦЕ,ALIĐERCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.20,0.33,0.53,0.0000,0.0000,0.0056,1.0230,1.6602,2.6888,5.0849,"6"
"70963","733954",ЦАКАНОВАЦ,CAKANOVAC,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0441,"6"
"70963","733709",ГОЛЕМИ ДОЛ,GOLEMI DOL,ПРЕШЕВО,PREŠEVO,No data,No data,0.03,0.00,0.00,0.20,0.13,0.36,0.1387,0.0000,0.0000,1.0698,0.6841,1.8926,5.2408,"6"
"70963","733776",КУРБАЛИЈА,KURBALIJA,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5289,"6"
"70963","733881",РЕЉАН,RELJAN,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.39,0.38,0.0000,0.0000,0.0000,0.0000,3.4642,3.4642,9.0030,"6"
"70963","733920",СТАНЕВЦЕ,STANEVCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7577,"6"
"70963","733890",СВИЊИШТЕ,SVINJIŠTE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3261,"6"
"70963","733687",БУШТРАЊЕ,BUŠTRANJE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.03,0.25,0.28,0.0000,0.0000,0.0000,0.2565,2.3924,2.6489,9.5004,"6"
"70963","733857",ПРЕШЕВО,PREŠEVO,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.50,0.00,0.35,0.85,0.0000,0.0000,11.2710,0.0000,7.7438,19.0148,22.4379,"6"
"70351","707660",БРАТОСЕЛЦЕ,BRATOSELCE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.07,0.00,0.07,0.0000,0.0000,0.0000,0.2808,0.0000,0.2808,3.8768,"6"
"70963","733962",ЦЕРЕВАЈКА,CEREVAJKA,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3057,"6"
"70963","733644",БУЈИЋ,BUJIĆ,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,1.26,0.00,0.17,1.43,0.0000,0.0000,3.1782,0.0000,0.4346,3.6128,2.5244,"6"
"71161","742490",ПЕТРОВАЦ,PETROVAC,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2612,"3"
"70963","733768",ИЛИНЦЕ,ILINCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.02,0.00,0.67,0.69,0.0000,0.0000,0.0718,0.0000,3.1385,3.2103,4.6640,"6"
"70963","733652",БУКОВАЦ,BUKOVAC,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0573,"6"
"70963","733903",СЕФЕР,SEFER,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8920,"6"
"71161","742309",ГОРНОВАЦ,GORNOVAC,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6341,"3"
"70963","733989",ЦРНОТИНЦЕ,CRNOTINCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.47,0.46,0.0000,0.0000,0.0000,0.0000,3.5973,3.5973,7.7400,"6"
"70963","733725",ГОСПОЂИНЦЕ,GOSPOĐINCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.85,0.85,0.0000,0.0000,0.0000,0.0000,2.8404,2.8404,3.3584,"6"
"70963","733849",ПЕЧЕНО,PEČENO,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7529,"6"
"70351","707848",ЈАБЛАНИЦА,JABLANICA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2976,"6"
"70963","733750",ЖУЈИНЦЕ,ŽUJINCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.84,0.00,0.00,0.33,0.58,1.75,7.0140,0.0000,0.0000,2.7030,4.7958,14.5128,8.3146,"6"
"70963","733679",БУКАРЕВАЦ,BUKAREVAC,ПРЕШЕВО,PREŠEVO,No data,No data,0.68,0.00,0.00,0.30,0.34,1.32,3.1290,0.0000,0.0000,1.4016,1.5948,6.1254,4.6336,"6"
"70963","733741",ДОЊА ШУШАЈА,DONJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.74,0.74,0.0000,0.0000,0.0000,0.0000,0.7630,0.7630,1.0273,"6"
"70963","733822",ОРАОВИЦА,ORAOVICA,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.38,0.38,0.0000,0.0000,0.0000,0.0000,6.5064,6.5064,17.3501,"6"
"70351","708089",ПРЕТИНА,PRETINA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0812,"6"
"70351","707619",БАРАЉЕВАЦ,BARALJEVAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.27,0.00,0.27,0.0000,0.0000,0.0000,1.8423,0.0000,1.8423,6.8236,"6"
"71161","742481",НОВО СЕЛО,NOVO SELO,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.17,0.00,0.17,0.0000,0.0000,0.0000,0.7037,0.0000,0.7037,4.2424,"3"
"70351","708038",НЕГОВАЦ,NEGOVAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9682,"6"
"70351","707872",КЛЕНИКЕ,KLENIKE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.63,0.00,0.63,0.0000,0.0000,0.0000,0.5016,0.0000,0.5016,0.7978,"6"
"71161","742279",БАРБАЦЕ,BARBACE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.01,0.00,0.01,0.0000,0.0000,0.0000,0.0436,0.0000,0.0436,8.6931,"3"
"70963","733695",ГАРЕ,GARE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2915,"6"
"71161","742317",ГОРЊА ТРНИЦА,GORNJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.01,0.00,0.01,0.0000,0.0000,0.0000,0.1138,0.0000,0.1138,13.2209,"3"
"70351","708143",САМОЉИЦА,SAMOLJICA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.64,0.00,0.00,0.41,0.00,1.06,4.5728,0.0000,0.0000,2.9476,0.0000,7.5204,7.1183,"6"
"71161","742597",ШАЈИНЦЕ,ŠAJINCE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.28,0.00,0.29,0.0000,0.0000,0.0000,2.9993,0.0000,2.9993,10.5094,"3"
"70351","707686",БРЊАРЕ,BRNJARE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.65,0.00,0.65,0.0000,0.0000,0.0000,3.5720,0.0000,3.5720,5.4934,"6"
"70351","708151",СЕБРАТ,SEBRAT,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4135,"6"
"70963","733717",ГОРЊА ШУШАЈА,GORNJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4511,"6"
"70963","733733",ДЕПЦЕ,DEPCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.43,0.00,0.00,0.43,0.0000,0.0000,3.9516,0.0000,0.0000,3.9516,9.1894,"6"
"70351","707627",БИЉАЧА,BILJAČA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.32,0.00,0.00,0.15,0.20,0.67,5.7414,0.0000,0.0000,2.5950,3.5761,11.9125,17.8284,"6"
"70351","708178",СПАНЧЕВАЦ,SPANČEVAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1938,"6"
"71161","742546",ТРГОВИШТЕ,TRGOVIŠTE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,High road density with population decline,0.00,0.00,0.00,0.27,0.07,0.34,0.0000,0.0000,0.0000,3.2471,0.8266,4.0737,12.0502,"1"
"70963","733873",РАНАТОВЦЕ,RANATOVCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.16,0.16,0.0000,0.0000,0.0000,0.0000,0.4804,0.4804,2.9402,"6"
"70963","733792",МАЂАРЕ,MAĐARE,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.38,0.38,0.0000,0.0000,0.0000,0.0000,1.2658,1.2658,3.3483,"6"
"70351","708160",СЕЈАЦЕ,SEJACE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6153,"6"
"70351","707988",ЛУКАРЦЕ,LUKARCE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7649,"6"
"71161","742384",ДУМБИЈА,DUMBIJA,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1933,"3"
"70335","706779",ДОЊЕ ТЛАМИНО,DONJE TLAMINO,БОСИЛЕГРАД,BOSILEGRAD,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.16,0.16,0.0000,0.0000,0.0000,0.0000,2.8912,2.8912,18.3915,"3"
"71161","742392",ЂЕРЕКАРЦЕ,ĐEREKARCE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.01,0.01,0.0000,0.0000,0.0000,0.0143,0.0536,0.0679,7.1189,"3"
"70351","707945",КУШТИЦА,KUŠTICA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8264,"6"
"70963","733865",РАЈИНЦЕ,RAJINCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.02,0.00,0.00,0.00,0.40,0.42,0.2306,0.0000,0.0000,0.0000,5.6321,5.8627,14.0289,"6"
"70963","733636",БЕРЧЕВАЦ,BERČEVAC,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1146,"6"
